Deal owner,Deal Name,Chain,Deal Stage,State,TTE Servicing Pharmacy,# Beds,Probability of Close,Go Live Date,Incumbent Pharmacy,Delivery Type Updated,Number of Delivery Locations,Comment,Pipeline Date,Record ID
Chris Asaro,Life Concepts - Tampa,Quest,Sales - Presentation,FL,FL,24,10%,5/1/2025,Pharmacy Alternatives,Central Office,1,"ICF Beds  Meeting with Brandon Hamilton (Sr Dr Nursing) on Thursday. 12/20/24 - virtual meeting set for Monday at 10:30. Met with Brandy Hamilton on 12/23/24 for pre-presentation meeting.  Went well.  Setting up meeting for formal presentation week of Jnauary 14th.  Met with Brandy Hamilton on 12/23/24 for pre-presentation meeting.  Went well.  Setting up meeting for formal presentation week of January 14th.  Brandy Hamilton presenting TTE to her VP next week.
",11/21/2024,29638244390
Chris Asaro,Life Concepts - Brandon,Quest,Sales - Presentation,FL,FL,24,10%,5/1/2025,Pharmacy Alternatives,Central Office,1,"ICF Beds.  Meeting with Brandy Hamilton (Sr Dr Nursing) on Thursday. 12/20/24 - virtual meeting set for Monday at 10:30. Brandy Hamilton Presenting TT services to her VP next week. 
",11/21/2024,29632279709
Deb Maloy,Compass Health Network,,Sales - Initial Communication,MO,IL,12,50%,4/1/2025,Sink's,Pick Up,1,Spoke to Matthew-working to set up presntation as owners are out right now.,11/21/2024,29638244389
Holly DeRosett,Tucson Residence Foundation,,Sales - Inactive,AZ,Austin,40,30%,3/1/2025,Varies,Group Homes,,"Spoke with Kellie, they are between TTE and Neighborhood. Neighborhood can deliver to their IDLA setting and not need centralized deliverys. Suggested meeting for lunch to ensure the understand our differences. 
",11/22/2024,29636695168
Mary Pelletier,Allied,,Sales - Initial Communication,CT,CT,32,20%,4/1/2025,Suburban,Courier,7,New ExD- scheduling presentation date with her and QA person known to me.,11/14/2024,29384426659
Mary Pelletier,MARC of Manchester,,Sales - Presentation,CT,CT,45,25%,4/1/2025,Suburban,Courier,11,"Met 1/10 with ExD & residential director-await mtg with residential team
",,29380989353
Holly DeRosett,Common Roots,,Sales - Initial Communication,CO,Austin,70,10%,5/1/2025,PDC,Group Homes,,"Sent a note to Melissa, requesting invoices/ OTC's for cost comparison. 
",11/22/2024,29373726548
Deb Maloy,Golden Gate Bridges,,Onboarding - In Progress,OH,Austin,50,100%,1/1/2025,Local,Courier,2,"Presentation held 11/6, definite interest, sent contract, and will follow up if not yet received.",11/14/2024,29381301865
Deb Maloy,A Better Choice,,Sales - Presentation,OH,Austin,21,45%,5/1/2025,Omnicare,courier,6,"Moving date due to delayed responses.
",11/14/2024,29373105198
Mary Pelletier,ARCECT (ARC of Eastern CT),,Sales - Inactive,CT,CT,104,20%,4/1/2025,Medical Pharmacy,Courier,22,Met DON at CTDDNA- she is scheduling time to meet her team 1st week of Dec.,11/15/2024,29383828390
Deb Maloy,Gogebic CMH,,Sales - Presentation,MI,Austin,20,15%,4/1/2025,Multiple,Courier,5,"Agency working with current pharmacy for now due to relationship.

",,28881825912
Chris Asaro,New Horizons - FL,,Onboarding - In Progress,FL,FL,20,85%,4/1/2025,First Choice Pharmacy,Fedex,1,"15-20 minutes from Tampa pharmacy location. Meeting for presentation scheudled for Tuesday, 3rd. Presentation went well.  Currently assessing and would like to eventually move forward upon review. Would like to move forward.  Margin Analysis submitted to Marc.",11/8/2024,28870884927
Chris Asaro,Casa Familia,,Sales - Initial Communication,FL,FL,50,10%,4/1/2025,None,Fedex,1,Building of new  campus in process.  Will have a series of 6-8 group homes on campus with 8 resdients in each home.,11/8/2024,28880703899
Chris Asaro,Easter Seals Florida,,Sales - Initial Communication,FL,FL,66,15%,4/1/2025,Guardian,Fedex,2,Have 6 X 11 residential homes.  Per John McCain (CEO) need to contact Gigi (Director) for further assessment,11/8/2024,28880754609
Chris Asaro,Attain (Orlando),,Sales - Initial Communication,FL,FL,120,20%,4/1/2025,Signature,Central,1,Setting up Meeting time With Dr. Cook.  Says they will be looking / assessing for a new pharmacy after 1/1/25,11/8/2024,28880051308
Chris Asaro,"Central Florida Communities, Inc.",,Sales - Contract Negotiation,FL,FL,314,65%,5/25/2025,Novopharm,Central & Fedex,,"Pre-Presentation Meeting with VP of Quality Assurance (Talei) set for 11/20/24.  Roger Zhuang (CEO) says 500 beds total with other locations in FL. Currently 3 X 64 bed ICF and 120 individuals across 17 group homes group homes. Meeting on 11/20 went well.  Next step is to schedule a presentation meeting. Presentation occurred on 11/20/24.  Went well. THey said it's between TTE and an LTC pharmacy that can produce IVs in house. Talei returning from vacation on Monday, January 6th.  She agreed to Reconvene discussion of pharmacy services upon her return. Had meetings with Talei on Monday and her staff on Thursday.  Meetings were extremely positive .  Eveyone agreed in principal to move forward. 
",11/8/2024,28880719152
Deb Maloy,Access Care,,Sales - Inactive,KY,Austin,70,50%,3/1/2025,Multiple,Delivery and Pick Up,2,"Presentation held 11/12, further discussion of details of services, tentative go live date of 2/1/25.",,28881825911
Nanette Wrobel,Adirondack ARC,ARC,Onboarding - In Progress,NY,NJ,109,100%,3/1/2025,Critical Care RX,TBD,,"negotiating drop off deliveries

",,28880775249
Deb Maloy,Hope of Kentucky,,Onboarding - In Progress,KY,Austin,30,100%,1/1/2025,Local,Courier,2,"ED signed contract, to send Monday.",,28880669102
Adam Chittam,Lutheran Services,,Sales - Contract Negotiation,SC,SC,25,70%,3/1/2025,Palmetto Rx,Courier,5,"Contract being signed, onboarding call for Mon 1/27.  
",11/1/2024,28879917961
Chris Asaro,Sevita FL (Mentor) NW,Sevita,Sales - Presentation,FL,FL,250,75%,4/1/2025,Guardian & local,Central Office,3,"Both regions interested and excited about what we have to offer.  Presentation for Wed 11/13 (virtual) (working with Chris) next step is meeting with Karen (state nurse). Partnering with Adam on this opportunity. Meeting with Karen Avery went great.  1/2/25 - Reached out to Karen Avery, Camille Lukow, Candice Krause, Maggie Linville. ASked to set up meeting to re-engage strategy for contracting and February start for onboarding. Asked Candice for her availability for lunch next week. Met with Karen Avery. Will cooperate and provide facility info requested.   Also had a meeting with Camille Lukow.  SHe is checking with Candice and Maggie on if both regions should be implemented at the same time or if 1 region should go first then the other to  follow.  
",9/18/2024,28713177986
Chris Asaro,Sevita FL (Mentor) Central,Sevita,Sales - Presentation,FL,FL,199,75%,4/1/2025,Guardian,Central Office,2,"Both regions interested and excited about what we have to offer.  Presentation for Wed 11/13 (virtual) (working with Chris) next step is meeting with Karen (state nurse). Partnering with Adam on this opportunity. Meeting with Karen Avery went great.  1/2/25 - Reached out to Karen Avery, Camille Lukow, Candice Krause, Maggie Linville. ASked to set up meeting to re-engage strategy for contracting and February start for onboarding. Asked Candice for her availability for lunch next week. Met with Karen Avery. Will cooperate and provide facility info requested.   Also had a meeting with Camille Lukow.  SHe is checking with Candice and Maggie on if both regions should be implemented at the same time or if 1 region should go first then the other to  follow.  
",9/18/2024,28713177702
Nanette Wrobel,CP Nassau,CP,Sales - Initial Communication,NY,NJ,60,20%,6/1/2025,Chem RX,Courier,,followup from previous rep,11/1/2024,28713167788
Holly DeRosett,Embrace Life,,Sales - Inactive,AZ,Austin,25,25%,5/1/2025,Various,TBD,,"Please remove. Owner, does not want to move away from Salibas.",10/31/2024,28713149824
Deb Maloy,Caring Moore-Frankfort,,Onboarding - In Progress,KY,Austin,18,100%,2/1/2025,Capital Pharmacy,Courier,1,"Reached out regarding signed contract, will look at tomorrow and will contact Julie to secure onboariding information, and moved OB call to Monday 12/23 at 3:30pm.",11/1/2024,28713147559
Blaire Reed,Amani Living,,Sales - Inactive,TX,Austin,2,95%,1/1/2025,CVS,Central Office,1,"Need pharmacy agreement, pre-onboarding call. Remove from pipeline. Not large enough",10/24/2024,28716273206
Adam Chittam,"Skilled Creations, Inc. (West Host)",,Sales - Presentation,NC,Austin,100,50%,4/1/2025,Multiple local,FedEx,10,"Met with ED of Admissions for West (Jason Lewis).  Reaching out to Robin Leib (Chief Healthcare Officer) to help get COO on board to speed up process
",11/1/2024,28712161134
Adam Chittam,Vista Care – IL CILA ,VistaCare,Onboarding - Complete,IL,IL,6,100%,11/1/2024,Local,,,New deal,10/24/2024,28712159775
Adam Chittam,Vista Care - UT,VistaCare,Onboarding - In Progress,UT,Austin,1,100%,11/1/2024,Local,,,New add,10/24/2024,28712159488
Jess Jacobs,Twin Valley Developmental Services,,Sales - Initial Communication,KS,KS-Lawrence,75,40%,4/1/2025,Local,Central Office,3,coordinating presentation with CEO and clinical team for week of 11/18,10/24/2024,28712155818
Blaire Reed,Draylon Healthcare Services,,Sales - Inactive,TX,Austin,2,95%,1/1/2025,CVS,Central Office,1,Call in. New group home company. Currently has 2 openings. Working with owner Sherena Smith. Remove from pipeline. Not large enough.,10/24/2024,28699481492
Blaire Reed,Martez Place,,Sales - Inactive,TX,Austin,5,95%,1/1/2025,Infinity,Central Office,1,Owner to sign contract. Was not ready to onboard for 12/1. Reconnecting with owner. Remove from pipeline. Not large enough.,10/24/2024,28699481227
Adam Chittam,Sponsored Residential Services of Central Virginia,,Sales - Presentation,VA,Austin,30,70%,8/1/2025,Multiple,FedEx (possible central office),3,have call with Amy (co-owner) to finalize December presentation date,10/22/2024,28699410834
Holly DeRosett,Stepping Stone Support Center,,Sales - Inactive,CO,Austin,25,25%,4/1/2025,Hartland,TBD,,Please remove from Pipeline. Group has opted for a local pharmacy.,10/25/2024,28367782929
Chris Asaro,Respect Of Florida,,Sales - Initial Communication,FL,FL,16,10%,4/1/2025,Walgreens,Central,1,Working on presentation,10/25/2024,28356550556
AJ Forster,Public Health Management Corporation,,Onboarding - In Progress,PA,NJ,16,100%,1/1/2025,Teppers Pharmacy,Deliver to OFfice,1,Contract Signed,10/24/2024,28341665200
Adam Chittam,Easterseals TN,Easterseals,Sales - Presentation,TN,Austin,70,10%,6/1/2025,DelMar,FedEx,4,Following up with CEO (Tim) to connect me with correct staff to line up presentation,9/10/2024,28304848754
Jess Jacobs,Dakotabilities,,Sales - Inactive,SD,Austin,120,10%,6/1/2025,Avera LTC,Central Office,3,"Spoke with DON, stopping by to meet her in person in September and continue discussing landscape and referrals",10/13/2023,28302774539
Nanette Wrobel,ARC of Lexington,ARC,Sales - Initial Communication,NY,NJ,700,10%,9/1/2025,TBD,TBD,,met with NPs at facility to continue with presentations,7/1/2024,28310457669
Jess Jacobs,Apace - Lincoln,Apace,Sales - Inactive,NE,Austin,75,10%,6/1/2025,Neighborhood LTC and Kohhls,,3,working to cooridnate presenation,10/20/2023,28300456074
Deb Maloy,EHCA,,Sales - Inactive,PA,Austin,100,30%,3/1/2025,PDC,Courier,1,1 Called and left message for presentation date and to return call.,1/23/2023,28309847323
Adam Chittam,Clarendon County DSN,,Sales - Initial Communication,SC,SC,62,10%,5/1/2025,Summerton Drug,Courier,4,"Emailed with Finance Director (Betty Lee).  Also, reached out to Maxabilities of York County ED to talk us up with Clarendon's ED (Ryan) yesterday at their SCHSP meeting 
",3/6/2024,28309536934
Mary Pelletier,We Do Life Together (Division of ICES),,Sales - Initial Communication,CT,CT,45,20%,9/1/2025,Hancock,Courier,15,Office temp. closed due to water damage.waiting on managers meeting to to be set,,28309074305
Nanette Wrobel,AIM Services Inc,,Sales - Initial Communication,NY,NJ,140,10%,9/1/2025,TBD,,45,followup from previous rep,2/22/2024,28306707096
Jess Jacobs,Duet,,Sales - Presentation,NE,Austin,60,50%,3/1/2025,Neighborhood LTC/multiple others,Central Office,5,"Met with Regional Director, Louis Ruperti, they are reviewing internal works and will look to us for help with policy review when ready",2/7/2024,28303856037
Adam Chittam,"Community Systems, Inc.",CSI,Sales - Presentation,VA,Austin,100,50%,10/1/2025,Revolution Meds,FedEx,10,Heard from DHS and executive staff is wanting to reapproach at beginning of year.  Trying to get to ED to present prior to 1st of the year,10/8/2024,28302927650
Adam Chittam,"Skilled Creations, Inc. (162010)",,Onboarding - Complete,NC,Austin,207,100%,7/1/2024,Pharmerica (Blue Ridge Pharmacy),Deliver-to-home,16,decided to add 3 group homes that were initially staying with Blue Ridge,1/31/2024,28302004260
Holly DeRosett,Ariel Clinical Services,,Sales - Inactive,CO,Austin,100,25%,5/1/2025,Various,,,Please remove. Will add back once meeting is scheduled.,2/7/2024,28301695670
Blaire Reed,Mission Road Developmental Center,,Sales - Initial Communication,TX,Austin,25,10%,5/1/2025,Carvajal (Local),Central Office,1,"We do not currenty serve their childrens department. Working to connect with local contact. Reached back out to children's RN department
",1/6/2025,28300238216
Nanette Wrobel,Oak Leydon,,Sales - Initial Communication,IL,IL,70,10%,9/1/2025,PAL,Fed Ex,,"met Ed at Institute, said to contact the Residential Director",10/18/2024,28298690100
Mary Pelletier,Gilead,Oakhill subsidiary,Sales - Initial Communication,CT,CT,64,25%,6/1/2025,East Rock Pharmacy,Courier,16,"""Oakhill subsidiary- runs independently- 1 person emergency onboarding now: building rapport- Mtg 1/30.
""

",10/18/2024,28297359371
Mary Pelletier,Bristol ARC (BARC),,Sales - Initial Communication,CT,CT,45,25%,4/1/2025,Hancock,Courier,12,12/5 call- no reply. ARC Southington will influence,7/19/2024,32370260918
Mary Pelletier,CLASP,,Sales - Presentation,CT,CT,75,30%,5/1/2025,Seybridge/Omnicare,Courier,17,"EXD will meet in mid Q1, still some resistance to change, Setting date for end of Jan with former EXD at STAR.

",3/17/2023,32369564579
Nanette Wrobel,WILDWOOD,,Sales - Presentation,NY,NJ,50,10%,9/1/2025,Marras and others,Courier,10,"follow-up
",10/20/2023,28310920587
Adam Chittam,TN DIDD Community Homes (East),,Sales - Presentation,TN,Austin,60,30%,12/1/2025,Corley's (local),FedEx,5,Working with Holley Bernard and Pam Wagner to finalize a presentation,2/2/2024,28310611810
Nanette Wrobel,Catholic Charities Disabilities Services,,Sales - Initial Communication,NY,NJ,84,20%,9/1/2025,Marras and others,Courier,16,followup from previous rep,2/9/2024,28310457668
Adam Chittam,ComServe Inc,,Sales - Initial Communication,NC,Austin,60,10%,9/1/2025,Village Pharmacy,FedEx,8,Following up with CEO for presentation,1/12/2024,28309228451
Nanette Wrobel,Annandale Village,Annandale Village,Sales - Contract Negotiation,GA,GA,125,10%,8/1/2025,Omnicare and local,campus,,"contact facility again, still awaiting RFP, lots of changes in personelle",10/1/2023,28305470298
Adam Chittam,Open Arms Care Nashville (102014),,Onboarding - Complete,TN,Austin,63,100%,7/1/2024,Synchrony,Central Office,1,Had initial pre-onboarding call and already have gathered info for each branch 2 pager,1/23/2023,28303856036
Jess Jacobs,Link Associates,,Sales - Initial Communication,IA,Austin,75,10%,3/1/2025,Local,Central Office,1,"Quarterly meeting rescheduled, looking at Q1 meeting of 2025",8/30/2024,28299465539
Adam Chittam,Youth Villages - Atlanta GA,Youth Villages,Sales - Initial Communication,National,Austin,120,20%,12/1/2025,local,FedEx,1,Working out details on a lunch/dinner with Dr. Lemmons and Head nurses,2/1/2024,28299002450
Nanette Wrobel,Program Development Services,,Onboarding - In Progress,NY,NJ,193,100%,2/1/2025,3 local,courier to home,40,"move to onboarding, onboarding call complete",8/23/2024,28297204378
Nanette Wrobel,Liberty Resources,,Sales - Presentation,NY,NJ,65,10%,9/1/2025,Medicine Shoppe,Courier,13,followup from previous rep,10/27/2023,28302004259
Chris Asaro,Inspire of Central Florida,,Onboarding - In Progress,FL,FL,6,100%,4/1/2025,TBD,TBD,1,Contract negociation,10/18/2024,28310151977
Adam Chittam,Open Arms Care Chattanooga (102010),,Onboarding - Complete,TN,Austin,72,100%,7/1/2024,Synchrony,Central Office,1,Had initial pre-onboarding call and already have gathered info for each branch 2 pager,1/23/2023,28308609370
Blaire Reed,Wings,,Sales - Initial Communication,OK,Austin,,10%,6/1/2025,Not serving residential yet.,Central Office,1,Met at CoAct. Spoke with Executive Program Director Nicole. Opening residential later this year or next year.,4/19/2024,28307166760
Nanette Wrobel,AHRC Bronx (362013),AHRC,Onboarding - Complete,NY,NJ,117,100%,6/1/2024,Various,deliver to home,42,Bronx (122) and Bklyn (87,8/1/2023,28310304360
Nanette Wrobel,Adapt,,Sales - Presentation,NY,NJ,400,30%,9/1/2025,Various,mixed,,presentation 2/2025,10/1/2023,28310151976
Deb Maloy,Noble of Indiana,,Sales - Contract Negotiation,IN,Austin,30,90%,3/1/2025,Young at Heart,Courier,3,"Sent revised contract, no reply to date.
",3/21/2024,28309074303
Jess Jacobs,"The Community Supports Network - Omaha, NE",CSN,Sales - Inactive,NE,Austin,80,25%,3/1/2025,Neighborhood,,,"working to reconnect with DON Teri Kunz, area director current champion",4/5/2024,28308144273
Nanette Wrobel,Beverly Farms,,Sales - Inactive,IL,IL,200,10%,6/1/2025,Evergreen,Deliver to home,,"Still reviewing upper management logistics, speaking with DON, Janet after holidays",9/1/2023,28303703471
Deb Maloy,Northwest Missouri Living Center,,Sales - Inactive,MO,IL,50,15%,2/1/2025,local,FedEx,4,Working w/ Jess on rescheduling meeting,12/1/2023,28302617378
Holly DeRosett,Hacienda Healthcare ICF,,Sales - Presentation,AZ,Austin,60,25%,7/1/2025,Omnicare,Office,1,Araceli asked that we follow up in the new year. Her CEO said there are a couple of projects they would like to do prior to entertaining a pharmacy change,9/13/2024,28299776631
Adam Chittam,Sevita FL (Mentor),Sevita,Sales - Inactive,FL,FL,200,40%,1/1/2025,Havana (local),,,Finalizing a date for a call with Camille (state director) and 1 of her Regional Directors that are intersted,9/18/2024,28308609369
Deb Maloy,DSI Services,,Sales - Inactive,IN,Austin,125,40%,1/1/2025,TBD,,40,"Attended symposium-sent email as follow for presentation, will follow up with call this week.",10/6/2023,28303392288
AJ Forster,RHD- CT Group Homes (352031),RHD,Onboarding - Complete,CT,CT,41,100%,3/1/2024,CT PHARMACY,Deliver to Home,11,Sales: Presentation Monday 1/29,3/1/2023,28300083243
Deb Maloy,Wendell Foster,,Sales - Initial Communication,KY,Austin,63,25%,9/1/2025,Synchrony,FedEx,1,"Sent email as follow up to call to Kelley Kelly, will continue follow up.",4/26/2024,28298846753
AJ Forster,Delmarva Community Services,,Sales - Initial Communication,MD,NJ,55,10%,6/1/2025,Pharmerica,Deliver to Office,1,Contacting for presentation,4/12/2024,28310457665
Jess Jacobs,Integrated Life Choices - Central Nebraska,Integrated Life Choices,Sales - Inactive,NE,Austin,75,10%,6/1/2025,Redler's,Hybrid,7,"met Norfolk and Omaha directors, their programs are currently happy with pharmacy. I will continue to follow up with other area regions.",10/31/2023,28310304359
Deb Maloy,Dungarvin - MN,Dungarvin,Sales - Initial Communication,MN,Austin,20,20%,10/1/2025,Coburns,Group Homes,4,Working with Sara in OH to connect with VP.,7/28/2023,28302927649
AJ Forster,RHD ACT Team - Tennessee (102029),RHD,Onboarding - Complete,TN,Austin,30,100%,6/1/2024,Local,Cental office,1,Move to on-boarding,3/2/2024,28300922234
Jess Jacobs,Central Iowa Residential Services,,Sales - Initial Communication,IA,Austin,115,25%,3/1/2025,Right Dose,Hybrid,7,working with Angela Hofer to coordinate presentation and confirm location number,6/6/2024,28310765927
Blaire Reed,Atarah Family Services - Part 2,,Sales - Inactive,TX,Austin,11,90%,12/1/2025,Hometown & genoa,Central Office,1,This should be completed. Remove from pipeline.,10/11/2024,28306245444
Blaire Reed,Leading Home Care of Louisiana,Leading Home Care of Louisiana,Sales - Inactive,LA,LA,100,60%,2/1/2025,Multiple,Central Office,10,Checking in with Erin DON. Email and text. Not interested in consolidating pharmacy at this time. Remove from pipeline.,8/23/2024,28305313144
AJ Forster,Eden Autism,,Sales - Initial Communication,NJ,NJ,100,10%,9/1/2025,Walmart,TBD,1,Continue to reach out to leadership,3/21/2024,28303856035
AJ Forster,Mosaic of Delaware (382102),Mosaic,Onboarding - Complete,DE,NJ,109,100%,9/1/2024,Meds your way,Cental office,1,Contract with Legal. Should have back 7/19,5/13/2023,28306089587
Deb Maloy,Dreams With Wings,,Sales - Initial Communication,KY,Austin,25,15%,10/1/2025,2 Locals,FedEx,3,Ongoing follow up,9/29/2023,28301386933
Deb Maloy,Benchmark Westchester - (182216),Benchmark Human Services,Onboarding - Complete,OH,Austin,9,100%,6/1/2024,Williams Brothers,Central Office,1,Notice was given to end services 5/31/24 with Wms. Bros,7/28/2023,28300238215
Adam Chittam,River Edge Behavioral Health,,Sales - Initial Communication,GA,GA,50,10%,6/1/2025,Local,Central Office,1,Reconnecting Q1 with Greta O'dell (IDD Dir. And on SPADD board),5/1/2024,28299465538
Mary Pelletier,Dungarvin - CT,Dungarvin,Sales - Initial Communication,CT,CT,30,20%,4/1/2025,Suburban,Courier,8,New Residential contact; PJW nursing will support-mtg being reschdeuled,9/6/2024,32370260764
AJ Forster,YAI - NJ Part 2,YAI/NIPD,Onboarding - Complete,NJ,NJ,4,100%,9/1/2024,Other,Deliver-to-home,,8 additional residents on boarding by Sept.,,28309381516
Mary Pelletier,ARC of Southington (352034),,Onboarding - Complete,CT,CT,29,100%,6/1/2024,"Hancock, CVS and Apple Health",Courier,8,Contract signed; locations/roster submitted.Starting onboarding for 6/1,2/22/2024,28308454920
Deb Maloy,McElvain Homes DTH (182207),,Onboarding - Complete,OH,Austin,10,100%,3/1/2024,Hursch,Deliver to Home,6,"OB, 3/8: created separate fac for the 6 homes that are DTH",,28308144272
Deb Maloy,Beacon Specialized Living - NC,Beacon Specialized Living,Sales - Inactive,NC,Austin,10,85%,4/1/2025,N/A-New Sites,Group Homes,1,Follow up ongoing,,28308144271
Deb Maloy,Coree,,Sales - Initial Communication,OH,Austin,25,10%,5/1/2025,Village Apothecary,Courier,1,Called Angie and left messge to return call.,10/30/2022,28307990126
Blaire Reed,ARC Baton Rogue,,Sales - Initial Communication,LA,LA,13,10%,5/1/2025,GPS,Central Office,1,Visiting next week while in LA-looking to portal demo,10/18/2024,28307467013
Mary Pelletier,Pathfinders - CT (362105),Kennedy Collective,Onboarding - In Progress,CT,CT,12,100%,2/1/2025,Seybridge,Courier,3,Residential manager acknowledge 2/1 Go Live- await list of addresses and individuals,10/27/2023,28305158467
AJ Forster,Community Options - Columbia PA  (377007),Community Options,Onboarding - Complete,PA,NJ,14,100%,4/1/2024,PDC,dailies- home; CF office,9,"OB, 3/8: NEED Call, packet for location, insurance info, cycle dates, delivery confirmation (Call with 3 region directors for CO-PA on 2/1, Central will be 4/1 go live d/t survey);  Sales: Go Live 3/1 for Lancaster",11/22/2023,28304848753
Deb Maloy,Grace Theios,,Sales - Inactive,MO,KS-Lawrence,20,30%,2/1/2025,Local,Courier,4,REMOVE,8/23/2024,28303082612
Blaire Reed,Cedar Creek Lodge,,Sales - Inactive,TX,Austin,40,10%,2/1/2025,Multiple,TBD,1,Ongoing communication with Manager Teneille Adams.,4/19/2024,28302774536
AJ Forster,RHD- Mainstay Western,RHD,Sales - Presentation,PA,NJ,8,50%,5/1/2025,Multiple,Hybrid,1,"No updates at this time. 
",,28301695669
Marc Altholz,JS Homes (PA),,Onboarding - Complete,PA,NJ,2,100%,11/1/2024,HomeFreeRx,,,,,28300768067
AJ Forster,RHD BHH (372117),RHD,Onboarding - Complete,PA,NJ,70,100%,5/1/2024,Adlers,Fed-Ex,6,Confirmed they want to move forward 8 Residents,3/8/2024,28300610603
Adam Chittam,The Burton Center,,Sales - Initial Communication,SC,SC,150,35%,6/1/2025,Palmetto Rx,Courier,15,Able to hang out with ED (Laurie Cordell) at the SCAAIDD conference and scheduling date for lunch presentation,5/24/2023,28300456070
Marc Altholz,Wisna Care (PA),,Onboarding - Complete,PA,NJ,6,100%,11/1/2024,HomeFreeRx,,,,,28299776630
Nanette Wrobel,Helping Celebrate Abilities (HCA),,Onboarding - In Progress,NY,NJ,72,70%,3/1/2025,Beacon and Medicine Shoppe,Courier,15,"need to price out OTCs and check delivery sites
",10/11/2023,28298690099
Adam Chittam,Fairfax Co GOV,,Sales - Inactive,VA,Austin,50,10%,8/1/2025,Genoa,FexEx,6,reconnecting to gauge actual interest due to lack of engagement,7/19/2024,28298690098
Blaire Reed,"Bluebonnett Homes, Inc (2344)",,Onboarding - Complete,TX,Austin,17,100%,6/1/2024,Medicine Art Pharmacy,Central Office,1,Signed Contract. Onboarding call scheduled.,4/1/2024,28297886570
Adam Chittam,Community Living Alternatives,,Sales - Initial Communication,VA,Austin,45,15%,9/1/2025,Pharmacy Alternatives,FedEx,1,following up with ED Susan Keena to schedule presentation,7/19/2024,28308299440
Adam Chittam,Sunrise SC (292243),Sunrise,Onboarding - Complete,SC,SC,2,100%,6/15/2024,new residential provider,Home,2,Just starting up residential services in SC.  SC is onboarding them currently (had kick off call Friday 6/7,6/7/2024,28303237260
Adam Chittam,Hope Haven,,Sales - Initial Communication,GA,GA,20,20%,1/1/2026,Athen's Infusion,FedEx,1,Following up with Amy (CEO) to guage interest one more time before removing from pipeline,4/23/2023,28296738704
Deb Maloy,KCARC,,Sales - Contract Negotiation,IN,Austin,70,90%,8/1/2025,Genoa,Courier,1,Follow up continues.,10/11/2024,28296738703
Adam Chittam,"Englewood Health Care, Inc.",,Sales - Inactive,GA,GA,20,10%,9/1/2025,Dennards,Central,1,on a short list-no change at this time,7/1/2024,28308299439
AJ Forster,Community Options Monmouth Middlesex,Community Options,Sales - Contract Negotiation,NJ,NJ,43,20%,5/1/2025,Union,Courier,15,"Spoke with Director. Want to move forward Q2 and asked for me to reach out 2/1 to schedule meeting post NJDDD survey
",7/24/2024,28307166759
Nanette Wrobel,Pathway Services,,Sales - Presentation,IL,IL,80,20%,9/1/2025,PAL,Deliver to home,,followup to take place next year,9/1/2023,28301075586
AJ Forster,Agape Health Care Services,,Sales - Initial Communication,MD,NJ,26,10%,5/1/2025,Alfa,Fed-Ex,7,Spoke to DON.  Scheduling time to meet,5/17/2024,28310765926
Jess Jacobs,"Mosaic - Grand Island, NE",Mosaic,Sales - Inactive,NE,Austin,75,20%,3/1/2025,Neighborhood LTC,,2,"coordinating time to present to owner, nurse and res manager. Symposium attendees, working through questions",7/14/2023,28310457664
Adam Chittam,Chesco Services,,Sales - Initial Communication,SC,SC,250,25%,9/1/2025,Palmetto,Courier,4,Reaching out directly to Terry (CEO) to see if we can have a call,4/1/2024,28308144270
Adam Chittam,Sumter County DSNB,,Sales - Initial Communication,SC,SC,115,10%,5/1/2025,Palmetto,Courier,10,Following up with Res. Dir and Day Program,11/7/2024,28307012755
AJ Forster,The Arc of Southern Maryland,,Onboarding - In Progress,MD,Austin,91,100%,3/1/2025,Lusby/Family Care,Deliver to home,28,"Signed Contract
",5/10/2024,28306707095
Mary Pelletier,CRI - Adult IDD (352033),,Onboarding - Complete,CT,CT,77,100%,5/1/2024,,,,,,28303856034
Nanette Wrobel,Active Visions Office (412189),,Onboarding - Complete,IL,IL,55,100%,7/1/2024,Local,Central Office,1,need delivery sites for contract production,3/22/2024,28300456069
Mary Pelletier,Kennedy Collective (352029),,Onboarding - Complete,CT,CT,72,100%,1/1/2024,Pharmerica,Courier,17,Sales: Re-negotiated out of Pharmerica early -end 12/31/23. Agreement signed- Go live 1/1 and 1st cycle fill 2/1.,5/1/2023,28299154732
Jess Jacobs,Imagine the Possibilities - Corporate,Imagine the Possbilities,Sales - Inactive,IA,Austin,100,10%,3/1/2025,Multiple,,45,"spoken with Regional Director in Cedar Rapids, each location makes independent choice, continuing to work from corporate level",10/6/2023,28303703469
AJ Forster,St. Edmond's Home,DGDP Communities,Sales - Contract Negotiation,PA,NJ,48,90%,7/1/2025,Health Direct,Courier,2,Presentation went great. 44 individuals in ICF and 4 individuals in a close by group home. ,3/1/2023,28303392287
Blaire Reed,St. Mary's Residential,,Sales - Initial Communication,LA,LA,196,10%,4/1/2025,Omnicare,Central Office,1,"Working to connect with DON Jessica Brown. Touchpoint at LA AAIDD. Sent gift basket. Stopping by next week during LA
",5/23/2024,28301386932
AJ Forster,"Everas, Inc",,Sales - Initial Communication,NJ,NJ,90,10%,6/1/2025,Union,TBD,1,RN gave info to leadership.,3/21/2024,28301075585
