name,organization,address,city,state,zip,county,beds,category,type,total_bed_count,total_resident_count,icf_idd,license_number
VOCA-Ginger Drive Group Home,VOCA Corporation of North Carolina,"301 10th St. NW, Ste. B-101",Conover,NC,28613,Cleveland,3,IID,Residential,3,3,FALSE,MHL-023-196
Brown's Uplifting Hearts,"Renewed Services, Inc.","213 Patton Drive, Suite C",Shelby,NC,28150,Cleveland,3,MI,Residential,3,3,FALSE,MHL-023-202
Fannin Haven Home,"Renewed Services, Inc.","213 Patton Drive, Suite C",Shelby,NC,28150,Cleveland,2,MI,Residential,2,1,FALSE,MHL-023-208
Overton Home,Voca Corporation of North Carolina,170 Hidden Shadows Drive,Boone,NC,28607,Cleveland,2,MI,Residential,2,2,FALSE,MHL-023-212
Sandra's House,"Recovery Foundations, LLC",2020 Remount Rd,Gastonia,NC,28054,Cleveland,4,MI,Residential,4,4,FALSE,MHL-023-215
McBrayer Home,Voca Corp of N.C. dba Community Alternatives,170 Hidden Shadows Drive,Boone,NC,28607,Cleveland,2,MI,Residential,2,2,FALSE,MHL-023-219
Healthy Choices,"RE Health Group, LLC",10008 Casa Nuestra Dr,Charlotte,NC,28214,Cleveland,4,MI,Residential,4,4,FALSE,MHL-023-220
Karen's Care Home,"Covenant Case Management Services, LLC",9940 Monroe Road,Matthews,NC,28105,Cleveland,3,MI,Residential,3,3,FALSE,MHL-023-222
Noah's Ark Home,"Covenant Case Management Services, LLC",9940 Monroe Road,Matthews,NC,28105,Cleveland,2,MD,Residential,2,2,FALSE,MHL-023-223
LaFleur Home,"Hughes Behavioral and Mental Health Services, Inc.","1307 Union Road, Suite 105",Gastonia,NC,28054,Cleveland,1,MD,Residential,1,1,FALSE,MHL-023-225
901 Montrose,"Abound Health, LLC","2020 South Tryon Street, Suite B",Charlotte,NC,28203,Cleveland,3,MD,Residential,3,2,FALSE,MHL-023-229
#115 Epps Retreat,"Abound Health, LLC","2020 South Tryon St, Suite 2B",Charlotte,NC,28203,Cleveland,3,MD,Residential,3,2,FALSE,MHL-023-230
Ledford Home,"Boundless Miracles, LLC","820 S. Post Rd, Suite A",Shelby,NC,28213,Cleveland,2,MD,Residential,2,0,FALSE,MHL-023-232
Courtney Blends,"Boundless Miracles, LLC","820 S Post Rd, Suite A",Shelby,NC,28152,Cleveland,3,MD,Residential,3,2,FALSE,MHL-023-233
The Thompson House NC,"The Unique Caring Network, Inc",7128 B Albermarle Road,Charlotte,NC,28227,Cleveland,3,MD,Residential,3,3,FALSE,MHL-023-234
King Home,"Covenant Case Management Services, LLC","9940 Monroe Road, Suite 201",Matthews,NC,28105,Cleveland,2,MD,Residential,2,2,FALSE,MHL-023-235
Tender Mercies Home,"Covenant Case Management Services, LLC","9940 Monroe Road, Suite 201",Charlotte,NC,28015,Cleveland,3,MD,Residential,3,2,FALSE,MHL-023-236
#1211 Masonic,"Boundless Miracles, LLC","820 South Post Road, Suite A",Shelby,NC,28152,Cleveland,2,MD,Residential,2,2,FALSE,MHL-023-237
Lakeview House,"H.O.P.E. United Helping Others Progressively Excel, Inc",700 North Cannon Boulevard,Kannapolis,NC,28083,Cleveland,3,MD,Residential,3,0,FALSE,MHL-023-239
Yoda House,"H.O.P.E. United Helping Others Progressively Excel, Inc","700 North Cannon Boulevard,",Kannapolis,NC,28083,Cleveland,3,MD,Residential,3,0,FALSE,MHL-023-240
Whiteville Group Home,"Community Innovations, Inc.",80 Alliance Drive,Whiteville,NC,28472,Columbus,5,IID,Residential,6,5,FALSE,MHL-024-011
Whiteville Group Home,"Community Innovations, Inc.",80 Alliance Drive,Whiteville,NC,28472,Columbus,1,MI,Residential,6,5,FALSE,MHL-024-011
Jean Street,"Community Innovations, Inc.",80 Alliance Drive,Whiteville,NC,28472,Columbus,3,IID,Residential,3,3,FALSE,MHL-024-013
Southwood,"Community Innovations, Inc.",80 Alliance Drive,Whiteville,NC,28472,Columbus,6,IID,Residential,6,3,FALSE,MHL-024-018
Strawberry House,"Community Innovations, Inc.",80 Alliance Drive,Whiteville,NC,28472,Columbus,6,IID,Residential,6,6,TRUE,MHL-024-019
Riverside Residential,"Community Innovations, Inc.",80 Alliance Drive,Whiteville,NC,28472,Columbus,6,IID,Residential,6,6,TRUE,MHL-024-021
Goremont,"The Asbury Homes, Inc.",11337 Joe Brown Hwy South,Tabor City,NC,28463,Columbus,6,IID,Residential,6,0,FALSE,MHL-024-026
David and David House,"Community Innovations, Inc.",80 Alliance Drive,Whiteville,NC,28472,Columbus,3,IID,Residential,3,3,FALSE,MHL-024-035
Lee Street Residential,"Community Innovations, Inc.",80 Alliance Drive,Whiteville,NC,28472,Columbus,3,IID,Residential,3,3,FALSE,MHL-024-039
GP Road,"Community Innovations, Inc.",80 Alliance Drive,Whiteville,NC,28472,Columbus,3,IID,Residential,3,3,FALSE,MHL-024-043
Honey Hill Residential,"Community Innovations, Inc.",80 Alliance Drive,Whiteville,NC,28472,Columbus,3,IID,Residential,3,3,FALSE,MHL-024-064
Campground House,"Carolinas Home Care Agency, Inc.",PO Box 1723,Whiteville,NC,28472,Columbus,4,IID,Residential,4,4,FALSE,MHL-024-081
Washington House,"Carolinas Home Care Agency, Inc.",PO Box 1723,Whiteville,NC,28472,Columbus,6,IID,Residential,6,6,FALSE,MHL-024-092
Pinewood House,Carolinas Home Care Agency Inc.,P.O. Box 1723,Whiteville,NC,28472,Columbus,3,IID,Residential,3,3,FALSE,MHL-024-103
Burkhead Group Home,"Carolinas Home Care Agency, Inc.",P.O. Box 1723,Whiteville,NC,28472,Columbus,6,IID,Residential,6,6,FALSE,MHL-024-104
Davis Avenue Group Home,"Carolinas Home Care Agency, Inc.",P.O. Box 1723,Whiteville,NC,28472,Columbus,4,IID,Residential,4,4,FALSE,MHL-024-105
Enzor House,"Community Innovations, Inc.",80 Alliance Drive,Whiteville,NC,28472,Columbus,3,IID,Residential,3,3,FALSE,MHL-024-108
Columbus House,"Community Innovations, Inc.",80 Alliance Drive,Whiteville,NC,28472,Columbus,5,IID,Residential,5,5,FALSE,MHL-024-109
Carroll House,"Community Innovations, Inc.",80 Alliance Drive,Whiteville,NC,28472,Columbus,6,IID,Residential,6,6,FALSE,MHL-024-110
LCBHS-Georgia Pacific Road,"Life Changing Behavioral Health Services, LLC",119 East Smith Street,Whiteville,NC,28472,Columbus,1,MD,Residential,1,0,FALSE,MHL-024-116
LCBHS-Silver Spoon Road,"Life Changing Behavioral Health Services, LLC",119 East Smith Street,Whiteville,NC,28472,Columbus,1,MD,Residential,1,0,FALSE,MHL-024-117
LCBHS-Stanley Circle,"Life Changing Behavioral Health Services, LLC",119 East Smith Street,Whiteville,NC,28472,Columbus,2,MD,Residential,2,0,FALSE,MHL-024-118
LCBHS-2810 Georgia Pacific Road,"Life Changing Behavioral Health Services, LLC",119 East Smith Street,Whiteville,NC,28477,Columbus,2,MD,Residential,2,0,FALSE,MHL-024-119
LCBHS-119 Heather's Lane,"Life Changing Behavioral Health Services, LLC",119 East Smith Street,Whiteville,NC,28472,Columbus,2,MD,Residential,2,0,FALSE,MHL-024-120
LCBHS-44 Maple Lane,"Life Changing Behavioral Health Services, LLC",119 East Smith Street,Whiteville,NC,28472,Columbus,2,MD,Residential,2,0,FALSE,MHL-024-121
LCBHS-591 Silver Spoon Road,"Life Changing Behavioral Health Services, LLC",119 East Smith Street,Whiteville,NC,28472,Columbus,2,MD,Residential,2,0,FALSE,MHL-024-122
LCBHS Farmers Union Rd.,"Life Changing Behavioral Health Services, LLC",119 East Smith Street,Whiteville,NC,28472,Columbus,1,MD,Residential,2,0,FALSE,MHL-024-124
LCBHS 412 Evergreen Baptist Church Rd.,"Life Changing Behavioral Health Services, LLC",119 East Smith Street,Whiteville,NC,28472,Columbus,1,MD,Residential,2,0,FALSE,MHL-024-125
"Life, Inc./Cherry Lane","LIFE, Inc.",2609 Royall Ave.,Goldsboro,NC,27534,Craven,6,IID,Residential,6,6,TRUE,MHL-025-001
Brices Creek Road Home,Monarch,"350 Pee Dee Ave, Suite 101",Albemarle,NC,28001,Craven,6,IID,Residential,6,6,TRUE,MHL-025-002
Dogwood House,Monarch,"350 Pee Dee Ave, Suite 101",Albemarle,NC,28001,Craven,5,IID,Residential,5,5,TRUE,MHL-025-007
"Life, Inc./Oakdale Home","LIFE, Inc.",2609 Royall Avenue,Goldsboro,NC,27534,Craven,6,IID,Residential,6,6,TRUE,MHL-025-013
"Life, Inc./Lavenham Group Home","LIFE, Inc.",2609 Royall Avenue,Goldsboro,NC,27534,Craven,6,IID,Residential,6,6,TRUE,MHL-025-014
Spencer's Place,Monarch,"350 Pee Dee Ave, Suite 101",Albemarle,NC,28001,Craven,6,MI,Residential,6,6,FALSE,MHL-025-020
Hoke Street Home,Monarch,"350 Pee Dee Ave, Suite 101",Albemarle,NC,28001,Craven,6,IID,Residential,6,6,FALSE,MHL-025-045
Kimberly Road,Monarch,"350 Pee Dee Ave, Suite 101",Albemarle,NC,28001,Craven,6,IID,Residential,6,6,TRUE,MHL-025-069
Edell's One,Carolyn Turner,3717 Trent Road,New Bern,NC,28562,Craven,3,MI,Residential,3,2,FALSE,MHL-025-205
Blessed Haven,Cleatrice Campbell,1025 Plymouth Drive,New Bern,NC,28562,Craven,3,IID,Residential,3,0,FALSE,MHL-025-221
Ann Cares,Harriett Amos,142 South Forest Drive,Havelock,NC,28532,Craven,2,MI,Residential,2,0,FALSE,MHL-025-222
Wright Place,Angela B. Wright,320 Territorial Road,New Bern,NC,28560,Craven,2,MD,Residential,2,2,FALSE,MHL-025-227
Myrover-Reese Fellowship Home,"Myrover-Reese Fellowship Homes, Inc.",PO Box 64933,Fayetteville,NC,28306,Cumberland,10,SUD,Residential,10,5,FALSE,MHL-026-005
No Place Like Home,"Mid State Health Services, Inc.",P. O. Box 64724,Fayetteville,NC,28306,Cumberland,5,IID,Residential,5,5,TRUE,MHL-026-054
Pat Reese Fellowship Home,"Myrover-Reese Fellowship Homes, Inc.",560-A Wilkes Road,Fayetteville,NC,28306,Cumberland,14,SUD,Residential,14,11,FALSE,MHL-026-086
Northside Group Home,"Sophia B. Pierce & Associates, Inc.",PO Box 2813,Fayetteville,NC,28302,Cumberland,6,IID,Residential,6,6,TRUE,MHL-026-125
Ashton W. Lilly Home,"Myrover-Reese Fellowship Homes, Inc.",PO Box 64933,Fayetteville,NC,28306,Cumberland,14,SUD,Residential,14,5,FALSE,MHL-026-214
Stanberry Place,"Sophia B. Pierce & Associates, Inc.",PO Box 2813,Fayetteville,NC,28302,Cumberland,3,MI,Residential,3,3,FALSE,MHL-026-299
Chestnut Hills Group Home,"Autism Society of North Carolina, Inc.",5121 Kingdom Way Suite 100,Raleigh,NC,27607,Cumberland,5,IID,Residential,5,5,FALSE,MHL-026-462
Sunny Acres Group Home,"Sophia B. Pierce & Associates, Inc.",PO Box 2813,Fayetteville,NC,28302,Cumberland,6,IID,Residential,6,6,FALSE,MHL-026-619
C.R.E.S.T. Group Home #1,Cumberland Residential & Employment Services & Training,PO Box 877,Fayetteville,NC,28302,Cumberland,5,IID,Residential,5,5,FALSE,MHL-026-639
C.R.E.S.T. Group Home #2,Cumberland Residential & Employment Services & Training,PO Box 877,Fayetteville,NC,28302,Cumberland,5,IID,Residential,5,3,FALSE,MHL-026-640
C.R.E.S.T. Group Home #3,Cumberland Residential & Employment Services & Training,PO Box 877,Fayetteville,NC,28302,Cumberland,5,IID,Residential,5,5,FALSE,MHL-026-641
C.R.E.S.T. Group Home #4,Cumberland Residential & Employment Services & Training,PO Box 877,Fayetteville,NC,28302,Cumberland,6,IID,Residential,6,4,FALSE,MHL-026-642
C.R.E.S.T. Group Home #5,Cumberland Residential & Employment Services & Training,PO Box 877,Fayetteville,NC,28302,Cumberland,6,IID,Residential,6,6,FALSE,MHL-026-643
Spigner DDA Group Home,"Spigner Management Systems, Inc.",PO Box 758,Fayetteville,NC,28302,Cumberland,6,IID,Residential,6,4,FALSE,MHL-026-653
"Precious Haven, Inc.","Precious Haven, Inc",PO Box 25821,Fayetteville,NC,28314,Cumberland,4,MI,Residential,4,4,FALSE,MHL-026-673
LUV-N-ARMS,S&T We Care,PO Box 25112,Fayetteville,NC,28314,Cumberland,4,MI,Residential,4,4,FALSE,MHL-026-689
United Residential Services of North Carolina  #2,United Residential Services of N. C. Inc.,P. O. Box 25928,Fayetteville,NC,28314,Cumberland,4,IID,Residential,4,4,FALSE,MHL-026-694
"Pearl's Angel Care, Inc.","Pearl's Angel Care, Inc.",1545 Stackhouse Drive,Fayetteville,NC,28314,Cumberland,4,MI,Residential,4,0,FALSE,MHL-026-709
Sharper Images,Lucy Sharp,3203 McChoen Drive,Fayetteville,NC,28301,Cumberland,6,IID,Residential,6,4,FALSE,MHL-026-723
"The Loving Home, Inc.","The Loving Home, Inc.",2620 Bragg Blvd,Fayetteville,NC,28303,Cumberland,3,IID,Residential,3,1,FALSE,MHL-026-761
Sunlight Behavior Center,"Sunlight Behavior Center, Inc.",2030 Hoke Loop Road,Fayetteville,NC,28314,Cumberland,4,MI,Residential,4,4,FALSE,MHL-026-777
Rainbow of Sunshine 2,"Rainbow of Sunshine, Inc.",307 Cedarwood Street,Spring Lake,NC,28390,Cumberland,5,IID,Residential,5,5,FALSE,MHL-026-812
Rainbow of Sunshine I,"Rainbow of Sunshine, Inc.",307 Cedarwood Street,Spring Lake,NC,28390,Cumberland,3,IID,Residential,3,3,FALSE,MHL-026-813
Summerhill,"ShineLight, Inc.",203 Rowan Street,Fayetteville,NC,28301,Cumberland,4,IID,Residential,4,2,FALSE,MHL-026-814
"Fresh Start Residential Facility, Inc.","Fresh Start Residential Facility, Inc.",7866 Adrian Drive,Fayetteville,NC,28314,Cumberland,6,IID,Residential,6,5,FALSE,MHL-026-822
"The Loving Home, Inc. #2","The Loving Home, Inc.",2620 Bragg Blvd,Fayetteville,NC,28303,Cumberland,3,IID,Residential,3,2,FALSE,MHL-026-826
Holliday's Place Group Home,"D & L Health Care Services, Incorporated",1234 Hoke Loop Road,Fayetteville,NC,28314,Cumberland,6,IID,Residential,6,5,TRUE,MHL-026-851
Joyful Living #1,Willa Dean McNeill,PO Box 1477,Fayetteville,NC,28302,Cumberland,6,IID,Residential,6,5,FALSE,MHL-026-855
Joyful Living #2,Willa Dean McNeill,PO Box 1477,Fayetteville,NC,28302,Cumberland,6,IID,Residential,6,5,FALSE,MHL-026-856
Elite Care Service at Middle Rd.,"Elite Care Service, Inc.",PO Box 9525,Fayetteville,NC,28311,Cumberland,6,MI,Residential,6,6,FALSE,MHL-026-857
Mahogany,"United Residential Services of North Carolina, Inc.",PO Box 25928,Fayetteville,NC,28314,Cumberland,3,IID,Residential,3,3,FALSE,MHL-026-876
"The Loving Home, Inc. #3","The Loving Home, Inc.",2620 Bragg Blvd,Fayetteville,NC,28303,Cumberland,3,IID,Residential,3,0,FALSE,MHL-026-882
"The Loving Home, Inc. #5","The Loving Home, Inc.",2620 Bragg Blvd,Fayetteville,NC,28303,Cumberland,2,IID,Residential,2,2,FALSE,MHL-026-883
"The Loving Home, Inc. #4","The Loving Home, Incorporated",2620 Bragg Blvd,Fayetteville,NC,28303,Cumberland,4,IID,Residential,4,4,FALSE,MHL-026-884
"Fresh Start Residential Facility, Inc. #3","Fresh Start Residential Facility, Inc.",7866 Adrian Drive,Fayetteville,NC,28314,Cumberland,4,IID,Residential,4,4,FALSE,MHL-026-889
Serenity Therapeutic Services #2,"Serenity Therapeutic Services, Inc.",207 S. stewart street,raeford,NC,28376,Cumberland,6,IID,Residential,6,6,FALSE,MHL-026-890
Serenity Therapeutic Services #3,"Serenity Therapeutic Services, Inc.",207 S Stewart St.,Raeford,NC,28376,Cumberland,2,IID,Residential,2,2,FALSE,MHL-026-892
Unity Home Care II,"Unity Home Care, Inc.",P.O. Box 48714,Fayetteville,NC,28331,Cumberland,4,IID,Residential,4,2,FALSE,MHL-026-912
Unity Home Care Residential Facility,"Unity Home Care, Inc.",PO Box 48714,Cumberland,NC,28331,Cumberland,4,IID,Residential,4,4,FALSE,MHL-026-913
Precious Haven #2,"Precious Haven, Inc.",P.O. Box 25821,Fayetteville,NC,28314,Cumberland,4,MI,Residential,4,4,FALSE,MHL-026-924
Professional Family Care Home #2,"Professional Family Care Services, Inc.",P.O. Box 35150,Fayetteville,NC,28303,Cumberland,3,IID,Residential,3,3,FALSE,MHL-026-926
Hearts of Hope Home Place,"PTP-Lisbon, Inc.",4132 Lisbon Road,Council,NC,28434,Cumberland,6,IID,Residential,6,5,FALSE,MHL-026-933
Upward Process,"Upward Process, Inc.",2917 Singletree Lane,Fayetteville,NC,28306,Cumberland,4,MI,Residential,4,0,FALSE,MHL-026-935
"Above & Beyond Care, Inc.","Above & Beyond Care, Inc.",5217 Whiskery Lane,Hope Mills,NC,28348,Cumberland,4,IID,Residential,4,4,FALSE,MHL-026-942
Extra Special Care,"Carter Clinic, P.A.",PO Box 99778,Raleigh,NC,27624,Cumberland,6,IID,Residential,6,6,TRUE,MHL-026-947
The Carter Clinic Residential Home,"Carter Clinic, P.A.",PO Box 99778,Raleigh,NC,27624,Cumberland,6,IID,Residential,6,6,TRUE,MHL-026-948
Adrienne's House,S & T WeCare Inc.,PO Box 25112,Fayetteville,NC,28314,Cumberland,4,MI,Residential,4,4,FALSE,MHL-026-952
Harlee Mac Group Home III,Mac Bill Inc.,PO Box 1444,Kinston,NC,28503,Cumberland,6,MI,Residential,6,4,FALSE,MHL-026-956
Precious Haven #3 Comet,"Precious Haven, Inc.",315 Dick Street,Fayetteville,NC,28301,Cumberland,4,MI,Residential,4,4,FALSE,MHL-026-959
"Community Alternative Housing, Inc.","Community Alternative Housing, Inc.",PO Box 87195,Fayetteville,NC,28304,Cumberland,1,MI,Residential,1,1,FALSE,MHL-026-960
Serenity Therapeutic Services #9,"Serenity Therapeutic Services, Inc.",207 S Stewart St.,Raeford,NC,28376,Cumberland,4,IID,Residential,4,4,FALSE,MHL-026-963
College Lakes,"ShineLight, Inc.",203 Rowan Street,Fayetteville,NC,28301,Cumberland,4,IID,Residential,4,4,FALSE,MHL-026-964
Serenity Therapeutic Services #10,"Serenity Therapeutic Services, Inc.","206 S, stewart street",Raeford,NC,28376,Cumberland,6,IID,Residential,6,6,FALSE,MHL-026-965
Edwards Group Home V,"Edwards Group Home V, Inc.",PO Box 295,Snow Hill,NC,28503,Cumberland,6,MI,Residential,6,6,FALSE,MHL-026-976
Excel Care Agency Incorporated,Excel Care Agency Incorporated,1903 Bridger Street,Fayetteville,NC,28303,Cumberland,6,MI,Residential,6,4,FALSE,MHL-026-978
My Place,"Sophia B. Pierce & Associates, Incorporated",P.O. Box 2813,Fayetteville,NC,28302,Cumberland,6,IID,Residential,6,6,TRUE,MHL-026-980
Thomas S. Decatur Home,"Sophia B. Pierce & Associates, Incorporated",P.O. Box 2813,Fayetteville,NC,28302,Cumberland,6,IID,Residential,6,6,TRUE,MHL-026-981
Caroline's DDA Group Home,"Brockett Investments, LLC",338 Moore Street,Fayetteville,NC,28301,Cumberland,6,IID,Residential,6,6,FALSE,MHL-026-983
Heartfelt Homes of the Carolinas,Heartfelt Homes of the Carolinas LLC,1029 Whisker Lake Drive,Fayetteville,NC,28312,Cumberland,4,MD,Residential,4,0,FALSE,MHL-026-984
Coronada,"Mid-State Health Systems, Inc",3721 Legion Road,Hope Mills,NC,28348,Cumberland,5,IID,Residential,5,0,FALSE,MHL-026-986
Serenity Therapeutic Services #16,"Serenity Therapeutic Services, Inc",206 S. Stewart Street,Raeford,NC,28376,Cumberland,6,IID,Residential,6,0,FALSE,MHL-026-987
Viringia's Group Home,Viringia's Group Home LLC,28680 N Turnpike Road,Wagram,NC,28396,Cumberland,4,MD,Residential,4,4,FALSE,MHL-026-988
Thompson Child & Family Focus-Sally Hill Home,Thompson Child & Family Focus,6800 St. Peters Lane,Matthews,NC,28105,Cumberland,6,MD,Residential,6,1,FALSE,MHL-026-989
"Above & Beyond Care, Inc.","Above & Beyond Care, Inc",5217 Whiskery Lane,Hope Mills,NC,28348,Cumberland,4,IID,Residential,4,3,FALSE,MHL-026-990
Brothers Helping Hands of N.C.,"Brothers Helping Hand of N.C., Inc",PO Box 1645,Fayetteville,NC,28301,Cumberland,4,MD,Residential,4,2,FALSE,MHL-026-991
Currituck Home,"LIFE, Inc.",2609 Royall Avenue,Goldsboro,NC,27534,Currituck,6,IID,Residential,6,6,FALSE,MHL-027-007
Roanoke Trail Facility,"LIFE, Inc.",2609 Royall Avenue,Goldsboro,NC,27534,Dare,6,IID,Residential,6,6,FALSE,MHL-028-013
Path of Hope,"Path of Hope, Inc.",PO Box 1824,Lexington,NC,27293,Davidson,12,SUD,Residential,12,11,FALSE,MHL-029-006
"Path of Hope, Inc.","Path of Hope, Inc.",PO Box 1824,Lexington,NC,27293,Davidson,6,SUD,Residential,6,4,FALSE,MHL-029-007
The Workshop of Davidson-Group Home #1-Women,"The Workshop of Davidson Group Homes, Inc.",PO Box 906,Lexington,NC,27293,Davidson,6,IID,Residential,6,4,FALSE,MHL-029-024
The Workshop of Davidson-Group Home II(Men),"The Workshop of Davidson Group Homes, Inc.",P.O. Box 906,Lexington,NC,27293,Davidson,6,IID,Residential,6,4,FALSE,MHL-029-025
Davidson #1,"The ARC of Davidson County, Inc.",1900 South Main Street,Lexington,NC,27292,Davidson,5,IID,Residential,5,5,FALSE,MHL-029-026
Davidson #2,"The ARC of Davidson County, Inc.",1900 South Main Street,Lexington,NC,27292,Davidson,6,IID,Residential,6,6,FALSE,MHL-029-027
Davidson #3,"The ARC of Davidson County, Inc.",1900 South Main Street,Lexington,NC,27292,Davidson,6,IID,Residential,6,0,FALSE,MHL-029-028
Davidson #4,"The ARC of Davidson County, Inc.",1900 South Main Street,Lexington,NC,27292,Davidson,6,IID,Residential,6,6,FALSE,MHL-029-029
Mayfair,"Ambleside, Inc.",1 Industrial Dr,Snow Hill,NC,28580,Davidson,3,IID,Residential,3,2,FALSE,MHL-029-054
Arlington House,"Ambleside, Inc.",One Industrial Drive,Snow Hill,NC,28580,Davidson,3,IID,Residential,3,3,FALSE,MHL-029-062
Dream Makers Assisted Living Services LLC,"Dream Makers Assisted Living Services, LLC",6 West Hemstead Street,Lexington,NC,27292,Davidson,3,IID,Residential,3,3,FALSE,MHL-029-103
Path of Hope,"Path of Hope, Inc.",PO Box 1824,Lexington,NC,27293,Davidson,11,SUD,Residential,11,10,FALSE,MHL-029-114
McDaniel AFL,"Omni Visions, Inc.",505 Brookdale Drive,Statesville,NC,28659,Davidson,2,MI,Residential,2,1,FALSE,MHL-029-116
AFL - Garrison,"Omni Visions, Inc.",505 Brookdale Drive,Statesville,NC,28659,Davidson,2,MI,Residential,2,2,FALSE,MHL-029-121
Ridgewood,"Ambleside, Inc.",1 Industrial Drive,Snowhill,NC,28580,Davidson,3,IID,Residential,3,1,FALSE,MHL-029-125
Davidson Crisis Center,"Daymark Recovery Services, Inc.",2129 Statesville Blvd,Salisbury,NC,28147,Davidson,16,MI,Residential,16,14,FALSE,MHL-029-134
Macs Village LLC,Macs Village LLC,PO Box 3122,Thomasville,NC,27360,Davidson,4,MI,Residential,4,3,FALSE,MHL-029-142
Hunt Home,"Covenant Case Management Services, LLC",9940 Monroe Road,Matthews,NC,28105,Davidson,2,MD,Residential,2,0,FALSE,MHL-029-147
Marajo Place,"WesCare Professional Services, LLC",10-A Oak Branch Drive,Greensboro,NC,27407,Davidson,3,MD,Residential,3,2,FALSE,MHL-029-148
44 Cedar Lodge B,Hands LLC of Rowan,4115 Pine Street,Salisbury,NC,28147,Davidson,2,IID,Residential,2,0,FALSE,MHL-029-150
44 Cedar Lodge A,"Brownstone Family, LLC",46 Cedar Lodge Unit A,Thomasville,NC,27360,Davidson,2,IID,Residential,2,2,FALSE,MHL-029-152
Macs Village LLC  Phase II,Macs Village LLC Phase II,21 Landon Lane,Thomasville,NC,27360,Davidson,4,MI,Residential,4,3,FALSE,MHL-029-153
Ronald Travis Home,"Still Family, LLC","7506 East Independence Boulevard,",Charlotte,NC,28227,Davidson,2,MD,Residential,2,1,FALSE,MHL-029-155
Milling House,"IMPACT of the Piedmont, Inc",189 Gaither St.,Mocksville,NC,27028,Davie,6,IID,Residential,6,6,FALSE,MHL-030-026
IMPACT of the Piedmont-Sanford House,"IMPACT of the Piedmont, Inc",189 Gaither St.,Mocksville,NC,27028,Davie,6,IID,Residential,6,6,FALSE,MHL-030-034
Skill Creations of Kenansville,"Skill Creations, Inc.",PO Box 1664,Goldsboro,NC,27533,Duplin,15,IID,Residential,15,15,TRUE,MHL-031-004
SCI-Duplin House,"Skill Creations, Inc.",PO Box 1664,Goldsboro,NC,27533,Duplin,6,IID,Residential,6,6,TRUE,MHL-031-009
Magnolia Group Home,"Duplin Sampson Group Homes, Inc.",PO Box 1190,Clinton,NC,28329,Duplin,5,IID,Residential,5,5,FALSE,MHL-031-038
Warsaw Group Home,"Duplin Sampson Group Homes, Inc.",PO Box 1190,Clinton,NC,28329,Duplin,6,IID,Residential,6,4,FALSE,MHL-031-039
Peace Healthcare Inc.,Peace Healthcare Inc.,2520 Dality Drive,Raleigh,NC,27604,Duplin,6,MI,Residential,6,5,FALSE,MHL-031-079
Seven Oaks Road-Durham,VOCA Corporation of North Carolina,"1001 Navaho Dr., Ste 101",Raleigh,NC,27609,Durham,5,IID,Residential,5,5,TRUE,MHL-032-010
Keywest Center,"The Keywest Center, Inc.",1722 Athens Avenue,Durham,NC,27707,Durham,6,IID,Residential,6,6,TRUE,MHL-032-049
Voca-Otis Street Home,VOCA Corporation of North Carolina,"1001 Navaho Dr., Ste 101",Raleigh,NC,27609,Durham,6,IID,Residential,6,6,TRUE,MHL-032-068
VOCA-Obie,VOCA Corporation of North Carolina,"1001 Navaho Dr., Ste 101",Raleigh,NC,27609,Durham,6,IID,Residential,6,6,TRUE,MHL-032-069
SCI-Triangle House II,"Skill Creations, Inc.",PO Box 1664,Goldsboro,NC,27583,Durham,6,IID,Residential,6,6,TRUE,MHL-032-070
SCI-Triangle House I,"Skill Creations, Inc.",PO Box 1664,Goldsboro,NC,27583,Durham,6,IID,Residential,6,6,TRUE,MHL-032-071
VOCA-Gentry,VOCA Corporation of North Carolina,"1001 Navaho Dr., Ste 101",Raleigh,NC,27609,Durham,6,IID,Residential,6,6,TRUE,MHL-032-075
Kenwood Drive Home,"Autism Services, Inc.","1310 Corporation Parkway, Ste. H",Raleigh,NC,27610,Durham,6,IID,Residential,6,6,TRUE,MHL-032-079
The Sherman House,"P.H.P. of N.C., Inc.",PO Box 20014,Durham,NC,27702,Durham,1,IID,Residential,4,3,FALSE,MHL-032-133
The Sherman House,"P.H.P. of N.C., Inc.",PO Box 20014,Durham,NC,27702,Durham,3,IID,Residential,4,3,FALSE,MHL-032-133
Devereux Residential Services-Kincaid Court,"Devereux Residential Services, LLC",2 Callahan Circle,Durham,NC,27703,Durham,1,IID,Residential,1,1,FALSE,MHL-032-228
"House of Care, Inc.","House of Care, Inc.","3500 Westgate Dr., Ste. 103",Durham,NC,27707,Durham,3,IID,Residential,3,2,FALSE,MHL-032-243
Nixon Place,"P.H.P. of N.C., Inc.",PO Box 20014,Durham,NC,27707,Durham,3,IID,Residential,3,3,FALSE,MHL-032-245
Montclair Group Home,"Comprehensive Community Care, Inc.",3308 Durham Chapel Hill Blvd Bldg F,Durham,NC,27707,Durham,3,IID,Residential,3,2,FALSE,MHL-032-248
Hickory Glen Home,"Comprehensive Community Care, Inc.",3308 Durham Chapel Hill Blvd.,Durham,NC,27707,Durham,3,IID,Residential,3,2,FALSE,MHL-032-249
Great Bend Group Home,"Autism Services, Inc.",1310- H Corporation Parkway,Raleigh,NC,27610,Durham,6,IID,Residential,6,6,FALSE,MHL-032-259
