Name,Region
8 Whippoorwill Road (Ability Beyond Disability)    ,West
"80 Country Road -A (Star, Inc.) ",West
"80 Country Road -B (Star, Inc.) ",West
"80 Country Road -C (Star, Inc.) ",West
"80 Country Road -D (Star, Inc.) ",West
80 Morning Dew (St. Vincent's Special Needs Center),West
"82 Chestnutland Road (Sunrise Northeast, Inc.) ",West
831 Huntington Turnpike (St. Vincent's Special Needs Center) ,West
"85 Talmadge Hill Road (Marrakech, Inc.) ",West
"86 Beech Street (KenCrest Services, Inc.)  ",West
"883 Rubber Avenue, Unit A2 (CSI, Inc.)",West
89 Dodgintown Rd (Ability Beyond Disability)  ,West
9 Country Club Woods Circle (HART) ,West
91 Columbia Boulevard (HART)  ,West
"91 Harrison Road (CSI, Inc.) ",West
"94 Reynolds Drive-A (Clasp Homes, Inc.)  ",West
96 Brierwood Avenue (OAK HILL) ,West
"96 Reynolds Drive-B (Clasp Homes, Inc.) ",West
"99 Torrington Road (CSI, Inc.) ",West
Bertoli Drive (Litchfield County ARC)   ,West
"Boyd Street (Community Residences, Inc.) ",West
Mountainville Road (Ability Beyond Disability) ,West
"Old North Road (CSI, Inc.) ",West
"Sage Way (CSI, Inc.)",West
Sandy Hook:,West
"Westledge Drive (CSI, Inc.) ",West
1 Boston Post Road (ECDC) ,South
1 Bruns Road (OAK Hill) ,South
"1 Daybreak Lane (Whole Life, Inc.) ",South
"1 Ranney Road (Key Service Systems, Inc.) ",South
"10 Old Voluntown Road (Alternative Services, Inc.) ",South
10 Rhode Island Drive (MOSAIC) ,South
"10 Watrous Farm Road (The Arc of Southington, Inc.) ",South
100 Shulman Veslak Road (The Caring Community) ,South
"100 Troiano Road (Community Residences, Inc.)",South
"1030 Shepard Avenue (Aspire Living and Learning, Inc.) ",South
106 Mill Road (The Caring Community)  ,South
107 Old Chester Road (Brian House Inc.),South
"109 Middlesex Avenue (Brian House, Inc.) ",South
11 Kelseytown Road (Robin's Nest Intergenerational Daycare LLC),South
11 Laurel Glen (ECDC) ,South
"11 Orient Lane (Marrakech, Inc.)  ",South
"11 Wayne Road (Kennedy Center, Inc.) ",South
11 Wood Acres Road (The Caring Community) ,South
110 VanCedarfield Road (The Caring Community)  ,South
111 Cedar Street (The Arc Eastern Connecticut) ,South
"111 West Pond Road (Resources for Human Development, Inc.) ",South
"112 Highland Avenue (A) (Community Residences, Inc.) ",South
"112 Highland Avenue (B) (Community Residences, Inc.) ",South
"112 Putters Drive (RMS Development, Inc.) ",South
"1162 South Curtis Street (RMS Development, Inc.) ",South
"12 Dolores Road (MARC Community Resources, Ltd.)",South
"12 Soundview Dr. (Journey Found, Inc.) ",South
"123 Scrub Oak Road (Aspire Living and Learning, Inc.) ",South
126 Pennsylvania Avenue (The Arc Eastern Connecticut),South
"126 West Road (Alternative Services, Inc.) ",South
13 Michele Drive (The Arc Eastern Connecticut) ,South
"13 Wychwood (Sunrise Northeast, Inc.)  ",South
"131 Newberry Road (Brian House, Inc.) ",South
135 Maple Street (The Caring Community)  ,South
137 Caroline Drive (Oak Hill) ,South
1370 Whitney Avenue (The Children's Center of Hamden),South
"141 Half Mile Rd (Benhaven, Inc.) ",South
"144 Heathridge Road (Continuum of Care, Inc.) ",South
144 Waterhole Road (The Caring Community) ,South
"149 Hillside Avenue (RMS Development, Inc.) ",South
"149 Wildwood Avenue (SARAH Tuxis Residential Svcs, Inc.) ",South
15 Cedar Ridge (MOSAIC)  ,South
"15 Maple Street (Aspire Living and Learning, Inc.) ",South
"150 Peters Lane (Aspire Living and Learning, Inc.)",South
"153 Sentinel Hill Road (Community Residences, Inc.) ",South
1553 Route 12 (ECDC),South
1560 Old Colchester Road (MOSAIC) ,South
158 Bascom Road (OAK HILL)   ,South
"159 Osborne Street (Marrakech, Inc.) ",South
"16 Brown Lane ( New England Residential Services, Inc.  ",South
"16 Ledge Road (Alternative Services, Inc.) ",South
"16 Oak Ridge Drive (Aspire Living and Learning, Inc.) ",South
"16 Oakgate Drive (SARAH Seneca Residential Svcs, Inc.) ",South
161 Burnham Road (The Caring Community)  ,South
"1655 Ridge Road (Aspire Living and Learning, Inc.)  ",South
1671 Center Groton Road (The Arc Eastern Connecticut) ,South
16a Ledge Road (RMS Development) ,South
"17 Fernwood Drive (MARC Community Resources, Ltd.)  ",South
17 Glenn Road (Mosaic) ,South
"17 Marlen Drive (Benhaven, Inc.)  ",South
176 Cooper Lane (DDS South Region) ,South
"18 Bellview Dr. (Pathfinders Assoc., Inc.)  ",South
"18 Middlesex Avenue (Brian House, Inc.) ",South
"187 Half Mile Rd - Johnson (Benhaven, Inc.)  ",South
"187 Half Mile Rd - Nakash (Benhaven, Inc.) ",South
"187 Half Mile Rd - Rosenberg (Benhaven, Inc.) ",South
"1881 Litchfield Turnpike (Aspire Living and Learning, Inc.) ",South
1895 Ridge Road (DDS) ,South
"19 Bellevue Terrace (MARC Community Resources, Ltd.)",South
"197 Alps Road (SARAH Tuxis Residential Svcs, Inc.) ",South
198/200 Maple Street (ACORD) ,South
"1A Sanford Lane (MARC Community Resources, Ltd.) ",South
2 Corey Road (NAFI CT. Inc) ,South
2 Hickory Hill (ECDC),South
2 Stoner Terrace (Mosaic)  ,South
"2 Totoket Road (SARAH Seneca Residential Svcs, Inc.) ",South
"20 Cortina Road (Marrakech, Inc.) ",South
"20 Frances Drive (RMS Development, Inc.) ",South
"20 Hamast Avenue (Sunrise Northeast, Inc.) ",South
"20 Hickory Hill (SARAH Seneca Residential Svcs, Inc.) ",South
20 Old Coach Highway (Benhaven),South
20 Old Mill Road (DDS)  ,South
20 Pheasant Drive (OAK HILL) ,South
"200 Brook Street (RMS Development, Inc.) ",South
"2068A Exeter Road (Sunrise Northeast, Inc.) ",South
"2068B Exeter Road (Sunrise Northeast, Inc.) ",South
21 Old Orchard Road (St. Vincent's Special Needs Center) ,South
"21 Victor Hill Drive (Marrakech, Inc.) 4/21/2016   ",South
"210 Byron Road (Midstate ARC, Inc.) ",South
"216 Sand Hill Road (NERS, Inc.)  ",South
22 Barnett Street (Mosaic),South
"22 Laurelwood Drive (Midstate ARC, Inc.) ",South
22 Robin Lane (Mosaic) ,South
220 Blue Trail (Benhaven),South
"226 Collindale Drive (Continuum of Care, Inc.) ",South
228 Elm Street (West Haven Comm. House Assoc. Inc.) ,South
"23 Jerry Brown Road (Whole Life, Inc.)  ",South
"23 Wildwood Terrace (Marrakech, Inc.) ",South
"24 Horseshoe Road (SARAH Seneca Residential Svcs, Inc.) ",South
24 Manor Road (MOSAIC) ,South
"241 Route 164 (Whole Life, Inc.)  ",South
"242 Winthrop Road (Brian House, Inc.) 10/14/2016 ",South
"249 Bailey Road (New England Residential Services, Inc..)   ",South
"25 Deforest Drive (Resources for Human Development, Inc.) ",South
"25 Ridge Road (Aspire Living and Learning, Inc.) ",South
251 Rogers Road (The ARC of Eastern Connecticut) ,South
255 Middletown Road (The Caring Community) ,South
256 Broadway (DDS) ,South
"26 Janet Drive (Aspire Living and Learning, Inc.)",South
"26 Paula Road (Key Human Services, Inc. ",South
26 Sherwood Lane (OAK HILL) ,South
264 Hempstead Street -A (DDS) ,South
"267 Old Mill Road (Aspire Living and Learning, Inc.) ",South
"268 Mile Creek Road (Alternative Services, Inc.) ",South
"27 Depot Road (Brian House, Inc.)  ",South
"27 High Ridge Drive (Sunrise Northeast, Inc.) ",South
"278 Norwich Westerly Road (Whole Life, Inc.) ",South
28 Pepperbox Road (The Arc Eastern Connecticut) ,South
"28 Twiss Avenue (RMS Development, Inc.)",South
"280 Brownstone (Prime Care, Inc.)",South
"286 Haywardville Road (Alternative Services, Inc.) ",South
"288 Allen Avenue (RMS Development, Inc.) ",South
"29 Kelseytown Road (SARAH Seneca Residential Svcs, Inc.) ",South
"3 Michael's Way (The Arc of Southington, Inc.) ",South
3 Winthrop Drive (ECDC)  ,South
"30 Glen Parkway (Aspire Living and Learning, Inc.)  ",South
"30 Seabreeze Drive (Whole Life, Inc.) ",South
"30 Woodland Road (SARAH Seneca Residential Svcs, Inc.)",South
300 Third Avenue (ACORD) 2/3/2016 ,South
"301 East River Road (NERS, Inc.) ",South
301 Great Neck Road (DDS) ,South
"31 Birch Lane (SARAH Seneca Residential Svcs, Inc.)   ",South
31 D'Amato Drive (MOSAIC) ,South
31 Old Route 87 (Key Human Services),South
31 Woodridge Circle (The Arc Eastern Connecticut),South
"310 Sea Hill Road (SARAH Tuxis Residential Services, Inc.) ",South
316 Hotchkiss Road (OAK HILL) ,South
32 Green Valley Road (MOSAIC) ,South
"320 Old Hill Road (Opportunity House, Inc.) ",South
320 Wolf Harbor Road (HART United Inc.) ,South
"33 Bittersweet Drive (Alternative Services, Inc.)",South
33 Carriage Drive (MOSAIC),South
33 Dogwood Road (Mosaic),South
33 Hidden Pond Drive (Gil Foundation) ,South
"33 Lake Street (Marrakech, Inc.) ",South
"33 Sunny Hill Drive (SARAH Tuxis Residential Services, Inc.) ",South
"332 Main Street (Adlebrook Community Services, Inc.) ",South
335 Westfield Street (DDS) ,South
"338 Bartholomew Road (NERS, Inc.)  ",South
34 Cloverdale Avenue (OAK HILL) ,South
"34 Thomas Avenue (Continuum of Care, Inc.)   ",South
"340 County Road (Key Human Services, Inc.)",South
35 Undercliff Road (DDS South Region),South
"35 Woodcrest (RMS Development, Inc.)",South
"350 Lydale Place (Community Residences, Inc.) ",South
36 Briarwood Drive (The Caring Community) ,South
37 Alice Street (The Caring Community) ,South
37 Arrowhead Drive (The Caring Community) ,South
37 Skyline Drive (The Caring Community) ,South
371 Scott Hill Road (The Caring Community) ,South
"37-23 Woodley Court (RMS Development, Inc.) ",South
"38 Quarry Road (Key Service Systems, Inc.) ",South
38 Whitney Road (Journey Found) ,South
"3A Brianwood La. (SARAH Seneca Residential Svcs, Inc.) ",South
4 Albacore Drive (The Arc Eastern Connecticut)   ,South
"4 Danielle Court (Pathfinders Assoc., Inc.)  ",South
"4 Hall Acres Road (Midstate ARC, Inc.) ",South
4 Pelham Avenue (DUNGARVIN)  ,South
4 Pontiac Drive (Journey Found) ,South
40 Shore Road (DDS) ,South
"415 Opening Hill Road (SARAH Tuxis Residential Svcs, Inc.) ",South
417 Lambert Road (SARAH Tuxis Residential Services Inc.) ,South
"42 Franklin St. (Pathfinders Assoc., Inc.) ",South
425 Dogwood Road (OAK HILL) ,South
44 Olinick Road (The Caring Community) ,South
443 Hazelnut Hill (Journey Found),South
"448 Bethmour Road (Aspire Living and Learning, Inc.)  ",South
45 Hillcrest Road (The Arc Eastern Connecticut),South
"45 Murray Street (RMS Development, Inc.) ",South
"470 Stevenson Road (Marrakech, Inc.) ",South
"475 Kitemaug Road (Alternative Services, Inc.)  ",South
"479 North Madison Road (SARAH Tuxis Residential Svcs, Inc.)",South
48 Lady Slipper Lane (The Arc Eastern Connecticut) ,South
"490 Amity Road (Aspire Living and Learning, Inc.) ",South
"5 Center Street (Alternative Services, Inc.) ",South
5 Herschler Road (Mosaic)  ,South
"5 Town Colony Drive #1218 (RMS Development, Inc.) ",South
"5 Town Colony Drive #1228 (RMS Development, Inc.) ",South
"51 Champion Hill Road (NERS, Inc.) ",South
"51 Middle Haddam Road (NERS, Inc.)  ",South
"52 Lincoln Avenue (Aspire Living and Learning, Inc.)  ",South
52 Overlook Drive (ACORD)  ,South
"527 New London Road (Alternative Services, Inc.)  ",South
"53 Miller Road (Alternative Services, Inc.)  ",South
"53 Putters Drive (RMS Development, Inc.) ",South
"536 Main Street (Midstate ARC, Inc.)",South
"54 Town Street (Brian House, Inc.) ",South
"542 North High Street (Marrakech, Inc,)",South
"548 Allen Avenue (RMS Development, Inc.)  ",South
"55 Soundridge Road (Community Residences, Inc.)   ",South
57 East Gate Lane (HART) ,South
"57-29 Woodley Court (RMS Development, Inc.) ",South
"573 Winthrop Road (Brian House, Inc.) 2/8/2017",South
"57-30 Woodley Court (RMS Development, Inc.)",South
"58 Madison Road (Key Human Services, Inc.)",South
580 Wintergreen Avenue (Marrakech Housing Options) ,South
6 Maple Court (ECDC) ,South
"6 Royal Oaks Drive (New England Residential Services, Inc.) ",South
"6 Sunbright Drive South (Midstate ARC, Inc.) ",South
"60 Byron Place (Marrakech, Inc.) ",South
"60 Knollwood Drive (Marrakech, Inc.)  ",South
"60 Plainfield Ave, Unit 13 (Marrakech, Inc.)  ",South
"60 Plainfield Ave, Unit 22 (Marrakech, Inc.)  ",South
"60 Plainfield Ave, Unit 7 (Marrakech, Inc.)  ",South
"61 October Hill Road (Opportunity House, Inc.)",South
"62 Chestnut Street (MARC Community Resources, Ltd.) ",South
62 Reservoir Road (The Caring Community) ,South
62 Summitt Woods Drive (DDS) ,South
"63 Putters Drive (RMS Development, Inc.) ",South
63 Vancedarfield Road (The Caring Community) ,South
640 Middletown Avenue (HART United Inc.) ,South
"65 Norwich-Salem Road (Brian House, Inc.) ",South
650 Middletown Avenue (HART United Inc.) ,South
"680 North Colony Street Apt. 16 (RMS Development, Inc.) ",South
"680 North Colony Street Apt. 17 (RMS Development, Inc.)  ",South
"680 North Colony Street Apt. 18 (RMS Development, Inc.) ",South
"681 Long Hill Road (SARAH Tuxis Residential Svcs, Inc.) ",South
681B Totoket Road (Benhaven),South
"686 Beaumont Highway (Continuum of Care, Inc.) ",South
69 East Gate Lane (HART) ,South
"6D Brianwood La. (SARAH Seneca Residential Svcs, Inc.) ",South
"7 Lyda Drive (Marrakech, Inc.) ",South
7 Savi Avenue (The Arc Eastern Connecticut) ,South
"7 Woodland Road (NERS, Inc.)  ",South
"70 Trumbull Street (RMS Development, Inc.) ",South
71 Harbor Road (The Arc Eastern Connecticut) ,South
72 Fiske Lane (Robin's Nest Intergenerational Daycare),South
"729 Montauk Avenue (Sunrise Northeast, Inc.)   ",South
74 Fogarty Road (Key Human Services) ,South
751 North Road (DDS Public Programs),South
"76 Alexander Drive (Midstate ARC, Inc.) ",South
"79 North High Street (SARAH Tuxis Residential Svcs, Inc.) ",South
"8 Cliff Drive (SARAH Tuxix Residential Services, Inc.)   ",South
8 Marion Road (ECDC) ,South
8 Stone Ridge Road (The Caring Community)  ,South
"80 Cheshire Road (RMS Development, Inc.)  ",South
80 Holton Road (DDS),South
"801 Woodin Street (Kennedy Center, Inc.) ",South
"803 Congdon Street (Community Residences, Inc.) ",South
81 Glennwood Road (ECDC) ,South
810 East Street (MOSAIC) ,South
82 Chesterfield Road (The Arc Eastern Connecticut) ,South
"83 Burnham Road (Whole Life, Inc.) ",South
833 Rt. 32 (The Caring Community),South
"85 Englewood Drive (Marrakech, Inc.)  ",South
"85 Kirk Road (Midstate ARC, Inc.) ",South
"85 Putters Drive (RMS Development, Inc.) ",South
"86 Pond Hill (RMS Development, Inc.)  ",South
87 Silver Manor Road (OAK HILL)  ,South
"88 Colony Terrace (RMS Development, Inc.) ",South
884 Milford Point Road (ACORD),South
89 Maple Avenue (Mosaic),South
"9 Brentley Drive (Community Residences, Inc.)",South
"9 Fans Rock Road (Kennedy Center, Inc.) ",South
"9 Lambtown Road (Whole Life, Inc.)     ",South
90 Shunpike Road (DDS) ,South
92 Clarke Road (OAK HILL) ,South
"92 Dogwood Lane (RMS Development, Inc.)",South
"92 View Terrace (Marrakech, Inc.) ",South
925 Long Hill Road (MOSAIC) ,South
93 Sawmill Drive (HART)  ,South
"933 Totoket Road (SARAH Seneca Residential Svcs, Inc.)",South
951 Prospect Street (HART),South
969 North High Street (Mosaic)  ,South
990 Mix Avenue (HART United Inc.) ,South
"Oliver Street (Benhaven, Inc.) ",South
"Wood Street (West Haven Comm. House Assoc., Inc.) ",South
