Provider Email,Facility Name,Facility ID,Program Type,State Region,HHSC SubOffice,County,Service  Type,Facility  Licensed,Facility Certified,License No,License Effective Date,License Expiration Date,Physical Address,Physical Address CITY,Physical Address State,Physical Address Zipcode,Geo Location,Facility Phone Number,Facility Fax,Medicare Provider Number,Medicaid Provider Number,Total Licensed Capacity,Licensed Only Beds,Medicaid Only Beds,Medicare Only Beds,Medicaid / Medicare Beds,Alzheimer Capacity,ICFIID Beds,Owner_,Type of Entity,Owner Mailing1,Owner Mailing City,Owner Mailing STATE,Owner Mailing Zipcode,Owner PHONE,Owner FAX,Administrator,Management Company_
shamilton@newhorizonstxk.com,NEW HORIZONS MAGNOLIA,7408,ICF/IID,4,ICF/IID TEAM,BOWIE,PRIVATELY OWNED,YES,YES,149228,5/15/2023,5/15/2026,4125 MAGNOLIA ST,TEXARKANA,TX,75503,"33.457314,-94.044524",(903) 794-0509,(903) 793-6460,,,6,0,0,0,0,0,6,HORIZONS GENERAL PARTNERSHIP,GENERAL PARTNERSHIP,4904 ELIZABETH STREET,TEXARKANA,TEXAS,75503,(903) 794-0509,(903) 793-6460,MARK MOORE,
shamilton@newhorizons.com,NEW HORIZONS STILLWELL,7569,ICF/IID,4,ICF/IID TEAM,BOWIE,PRIVATELY OWNED,YES,YES,148465,11/23/2021,11/23/2024,2611 STILLWELL DR,TEXARKANA,TX,75503,"33.44729,-94.077196",(903) 794-0509,(903) 793-6460,,,6,0,0,0,0,0,6,HORIZONS GENERAL PARTNERSHIP,GENERAL PARTNERSHIP,4904 ELIZABETH STREET,TEXARKANA,TEXAS,75503,(903) 794-0509,(903) 793-6460,STEVEN D MOORE,
shamilton@newhorizonstxk.com,NEW HORIZONS WEST 27TH ST,7407,ICF/IID,4,ICF/IID TEAM,BOWIE,PRIVATELY OWNED,YES,YES,149876,7/30/2023,7/30/2026,404 W 27TH ST,TEXARKANA,TX,75503,"33.442598,-94.047077",(903) 794-0509,(903) 793-6460,,,6,0,0,0,0,0,6,HORIZONS GENERAL PARTNERSHIP,GENERAL PARTNERSHIP,4904 ELIZABETH STREET,TEXARKANA,TEXAS,75503,(903) 794-0509,(903) 793-6460,MARK MOORE,
licenses@brightspringhealth.com,HIGHLAND GROUP HOME,3925,ICF/IID,6,UNIT 21 (ICF-IID),BRAZORIA,PRIVATELY OWNED,YES,YES,149305,3/1/2022,3/1/2025,1304 HIGHLAND,ALVIN,TX,77512,"29.413113,-95.256846",(281) 388-2726,,,,6,0,0,0,0,0,6,EDUCARE COMMUNITY LIVING CORPORATION  GULF COAST,FOR-PROFIT CORPORATION,9901 LINN STATION ROAD,LOUISVILLE,KY,40223,(502) 394-2100,(502) 394-2249,SAMUEL LYNN,
licenses@brightspringhealth.com,TOVREA,3618,ICF/IID,6,UNIT 21 (ICF-IID),BRAZORIA,PRIVATELY OWNED,YES,YES,149815,7/20/2023,7/20/2026,802 TOVREA,ALVIN,TX,77512,"29.417819,-95.233651",(281) 331-7413,,,,6,0,0,0,0,0,6,EDUCARE COMMUNITY LIVING CORPORATION  GULF COAST,FOR-PROFIT CORPORATION,9901 LINN STATION ROAD,LOUISVILLE,KY,40223,(502) 394-2100,(502) 394-2249,MONIQUE TINSLEY -LITTLE,
licenses@brightspringhealth.com,ARCOLA,105082,ICF/IID,6,UNIT 21 (ICF-IID),BRAZORIA,PRIVATELY OWNED,YES,YES,147752,8/1/2021,8/1/2024,800 N ARCOLA,ANGLETON,TX,77515,"29.171437,-95.429551",(979) 848-8600,(979) 345-4969,,45H325,6,0,0,0,0,0,6,EDUCARE COMMUNITY LIVING CORPORATION  TEXAS,FOR-PROFIT CORPORATION,"805 N WHITTINGTON PARKWAY, SUITE 400",LOUISVILLE,KY,40222,(502) 394-2100,(502) 394-2369,SAMUEL LYNN,
licenses@brightspringhealth.com,OAK TREE,7626,ICF/IID,6,UNIT 21 (ICF-IID),BRAZORIA,PRIVATELY OWNED,YES,YES,145711,9/7/2022,9/7/2025,1811 OAKTREE CIR,PEARLAND,TX,77581,"29.53969,-95.247648",(281) 992-8176,,,,6,0,0,0,0,0,6,EDUCARE COMMUNITY LIVING CORPORATION  GULF COAST,FOR-PROFIT CORPORATION,9901 LINN STATION ROAD,LOUISVILLE,KY,40223,(502) 394-2100,(502) 394-2249,JULIE PURCELL,
licenses@brightspringhealth.com,SOMERSET GROUP HOME,3963,ICF/IID,6,UNIT 21 (ICF-IID),BRAZORIA,PRIVATELY OWNED,YES,YES,149091,2/28/2023,2/28/2026,1117 CHESTERWOOD,PEARLAND,TX,77581,"29.533366,-95.225454",(281) 992-8510,,,,6,0,0,0,0,0,6,EDUCARE COMMUNITY LIVING CORPORATION  GULF COAST,FOR-PROFIT CORPORATION,9901 LINN STATION ROAD,LOUISVILLE,KY,40223,(502) 394-2100,(502) 394-2249,JULIE PURCELL,
licensing@cg-idd.com,3706 CARTER CREEK PKWY,7561,ICF/IID,5,ICF-IID (AUSTIN REGION),BRAZOS,PRIVATELY OWNED,YES,YES,307871,2/10/2023,2/10/2026,3706 CARTER CREEK PKWY,BRYAN,TX,77802,"30.643748,-96.341479",(888) 775-5135,(979) 695-7063,,,6,0,0,0,0,0,6,"DAYBREAK, INC",FOR-PROFIT CORPORATION,4800 OVERTON PLAZA STE 440,FORT WORTH,TX,76109,(972) 223-6259,(972) 224-0904,JO L DUNN,
,FAMILY TREE,7662,ICF/IID,5,ICF-IID (AUSTIN REGION),BRAZOS,GOVERNMENT BASED,NO,YES,,,,408 N WASHINGTON AVE,BRYAN,TX,77803,"30.676993,-96.371089",(979) 361-9875,,,,8,0,0,0,0,0,8,THE MHMR AUTHORITY OF BRAZOS VALLEY,OTHER (UNLICENSED),P.O. BOX 4588,BRYAN,TX,77805,(979) 361-9800,,,
,OPPORTUNITY DEVELOPMENT CENTER 1,3734,ICF/IID,2,ICF/IID,BROWN,GOVERNMENT BASED,NO,YES,,,,1600 STEWART ST,BROWNWOOD,TX,76801,"31.685311,-98.96923",(325) 643-5565,(325) 643-3966,,,13,0,0,0,0,0,13,CENTRAL TEXAS MHMR CENTER,Nonprofit Organization,PO BOX 250,BROWNWOOD,TEXAS,76804,(325) 646-9574,(325) 646-7911,,
,OPPORTUNITY DEVELOPMENT CENTER 2,3840,ICF/IID,2,ICF/IID,BROWN,GOVERNMENT BASED,NO,YES,,,,403 MULBERRY DR,BROWNWOOD,TX,76801,"31.731667,-98.99049",(325) 643-1336,(325) 643-3966,,,13,0,0,0,0,0,13,CENTRAL TEXAS MHMR CENTER,Nonprofit Organization,PO BOX 250,BROWNWOOD,TEXAS,76804,(325) 646-9574,(325) 646-7911,,
april.mock@sevitahealth.com,BERTRAM COMMUNITY RESIDENCE,3675,ICF/IID,5,ICF-IID (AUSTIN REGION),BURNET,PRIVATELY OWNED,YES,YES,148700,12/1/2022,12/1/2025,648 W CEDAR ST,BERTRAM,TX,78605,"30.743669,-98.061886",(512) 355-3005,(512) 327-5355,,,6,0,0,0,0,0,6,"D&S RESIDENTIAL SERVICES, LP",LIMITED PARTNERSHIP,8911 N CAPITAL OF TX HWYBLDG 1  STE 1300,AUSTIN,TX,78759,(512) 327-2325,(512) 327-5355,ROBERT HAM,
april.mock@sevitahealth.com,BLUEBONNET COMMUNITY RESIDENCE,7505,ICF/IID,5,ICF-IID (AUSTIN REGION),BURNET,PRIVATELY OWNED,YES,YES,149004,12/1/2022,12/1/2025,1260 HWY 29 W,BERTRAM,TX,78605,"30.747007,-98.070199",(512) 355-3012,(512) 327-5355,,,6,0,0,0,0,0,6,"D&S RESIDENTIAL SERVICES, LP",LIMITED PARTNERSHIP,8911 N CAPITAL OF TX HWYBLDG 1  STE 1300,AUSTIN,TX,78759,(512) 327-2325,(512) 327-5355,ROBERT HAM,
april.mock@thementornetwork.com,WOODVIEW COMMUNITY RESIDENCE,7450,ICF/IID,5,ICF-IID (AUSTIN REGION),BURNET,PRIVATELY OWNED,YES,YES,149681,12/1/2021,12/1/2024,407 CR 320,BERTRAM,TX,78605,"30.735113,-98.057668",(512) 355-3213,(512) 327-5355,,,6,0,0,0,0,0,6,"D&S RESIDENTIAL SERVICES, LP",LIMITED PARTNERSHIP,8911 N CAPITAL OF TX HWYBLDG 1  STE 1300,AUSTIN,TX,78759,(512) 327-2325,(512) 327-5355,ROBERT HAM,
april.mock@thementornetwork.com,HIGHLAND LAKES COMMUNITY RESIDENCE,3879,ICF/IID,5,ICF-IID (AUSTIN REGION),BURNET,PRIVATELY OWNED,YES,YES,148728,12/1/2021,12/1/2024,705 KINCHELOE,BURNET,TX,78611,"30.766685,-98.221564",(512) 756-4404,(512) 327-5355,,,6,0,0,0,0,0,6,"D&S RESIDENTIAL SERVICES, LP",LIMITED PARTNERSHIP,8911 N CAPITAL OF TX HWYBLDG 1  STE 1300,AUSTIN,TX,78759,(512) 327-2325,(512) 327-5355,ROBERT HAM,
april.mock@thementornetwork.com,SUNSET COMMUNITY RESIDENCE,7221,ICF/IID,5,ICF-IID (AUSTIN REGION),BURNET,PRIVATELY OWNED,YES,YES,149089,12/1/2021,12/1/2024,313 SUNSET DR,BURNET,TX,78611,"30.755838,-98.258197",(512) 756-6782,(512) 327-5355,,,6,0,0,0,0,0,6,"D&S RESIDENTIAL SERVICES, LP",LIMITED PARTNERSHIP,8911 N CAPITAL OF TX HWYBLDG 1  STE 1300,AUSTIN,TX,78759,(512) 327-2325,(512) 327-5355,ROBERT HAM,
april.mock@thementornetwork.com,BURNET COUNTY COMMUNITY RESIDENCE,3763,ICF/IID,5,ICF-IID (AUSTIN REGION),BURNET,PRIVATELY OWNED,YES,YES,148232,12/1/2021,12/1/2024,1513 BLUEBONNET DR,MARBLE FALLS,TX,78654,"30.590335,-98.274155",(830) 693-3449,(512) 327-5355,,,8,0,0,0,0,0,8,"D&S RESIDENTIAL SERVICES, LP",LIMITED PARTNERSHIP,8911 N CAPITAL OF TX HWYBLDG 1  STE 1300,AUSTIN,TX,78759,(512) 327-2325,(512) 327-5355,ROBERT HAM,
licenses@brightspringhealth.com,EDUCARE COMMUNITY LIVING LIMITED PARTNERSHIP,3949,ICF/IID,5,ICF-IID (AUSTIN REGION),CALDWELL,PRIVATELY OWNED,YES,YES,146310,1/1/2024,1/1/2027,1501 SUNRISE TER DR,LOCKHART,TX,78644,"29.8767,-97.6724",(512) 376-6550,(512) 302-3978,,,6,0,0,0,0,0,6,EDUCARE COMMUNITY LIVING LIMITED PARTNERSHIP,LIMITED PARTNERSHIP,"805 N WHITTINGTON PARKWAY, SUITE 400",LOUISVILLE,KY,40222,(409) 840-9111,(502) 394-2285,SANDRA KENNEDY,
gostlund952@gmail.com,CARING PALMS HEALTH CARE CENTER,3744,ICF/IID,11,CORPUS CHRISTI 61,CAMERON,PRIVATELY OWNED,YES,YES,149236,6/30/2022,6/30/2025,1415 W WASHINGTON ST,BROWNSVILLE,TX,78520,"25.919794,-97.516954",(956) 546-3711,(956) 546-3799,,,72,0,0,0,0,0,72,CARING PALMS HEALTH CARE CENTER INC,FOR-PROFIT CORPORATION,8000 CALMONTAPT 249,FORT WORTH,TX,76116,(817) 992-2028,(817) 984-6952,GERI OSTLUND,NA
licenses@rescare.com,CASA LINDA GROUP HOME,7559,ICF/IID,11,CORPUS CHRISTI 61,CAMERON,PRIVATELY OWNED,YES,YES,307774,12/1/2022,12/1/2025,8 CASA LINDA,BROWNSVILLE,TX,78521,"25.941487,-97.475277",(956) 371-0244,(956) 546-1636,,45H105,6,0,0,0,0,0,6,EDUCARE COMMUNITY LIVING CORPORATION  TEXAS,FOR-PROFIT CORPORATION,"805 N WHITTINGTON PARKWAY, SUITE 400",LOUISVILLE,KY,40222,(502) 394-2100,(502) 394-2369,JULIE PURCELL,
licenses@brightspringhealth.com,ADRIAN COMMUNITY HOME,7244,ICF/IID,11,CORPUS CHRISTI 61,CAMERON,PRIVATELY OWNED,YES,YES,146564,1/1/2022,1/1/2025,2214 ADRIAN ST,HARLINGEN,TX,78550-7411,"26.173084,-97.718356",(956) 428-3874,,,,6,0,0,0,0,0,6,EDUCARE COMMUNITY LIVING LIMITED PARTNERSHIP,LIMITED PARTNERSHIP,"805 N WHITTINGTON PARKWAY, SUITE 400",LOUISVILLE,KY,40222,(409) 840-9111,(502) 394-2285,RICHARD PRO,
licenses@brightspringhealth.com,DOMINION COMMUNITY HOME,3954,ICF/IID,11,CORPUS CHRISTI 61,CAMERON,PRIVATELY OWNED,YES,YES,146198,1/1/2022,1/1/2025,133 W DOMINION,HARLINGEN,TX,78550-3825,"26.2221,-97.697427",(956) 421-4035,,,,6,0,0,0,0,0,6,EDUCARE COMMUNITY LIVING LIMITED PARTNERSHIP,LIMITED PARTNERSHIP,"805 N WHITTINGTON PARKWAY, SUITE 400",LOUISVILLE,KY,40222,(409) 840-9111,(502) 394-2285,RICHARD PRO,
licenses@brightspringhealth.com,EAST WASHINGTON COMMUNITY HOME,3983,ICF/IID,11,CORPUS CHRISTI 61,CAMERON,PRIVATELY OWNED,YES,YES,146455,1/1/2024,1/1/2027,1907 E. WASHINGTON AVE,HARLINGEN,TX,78550,"26.198291,-97.67603",(956) 423-1942,,,,6,0,0,0,0,0,6,PHOENIX PARENT HOLDINGS INC,FOR-PROFIT CORPORATION,1901 CAMPUS PL,LOUISVILLE,KY,40222,,,ERICA DAGGETT,
licenses@brightspringhealth.com,MARIPOSA COMMUNITY HOME,7236,ICF/IID,11,CORPUS CHRISTI 61,CAMERON,PRIVATELY OWNED,YES,YES,146380,1/1/2024,1/1/2027,2505 MARIPOSA,HARLINGEN,TX,78550-7853,"26.175566,-97.661668",(956) 428-1666,,,,6,0,0,0,0,0,6,EDUCARE COMMUNITY LIVING LIMITED PARTNERSHIP,LIMITED PARTNERSHIP,"805 N WHITTINGTON PARKWAY, SUITE 400",LOUISVILLE,KY,40222,(409) 840-9111,(502) 394-2285,ERICA DAGGETT,
,RIO GRANDE STATE CENTER,7112,ICF/IID,11,CORPUS CHRISTI 61,CAMERON,STATE SCHOOL/STATE CENTER,NO,YES,,,,1401 S RANGERVILLE RD,HARLINGEN,TX,78550,"26.161817,-97.707269",(956) 364-8000,(956) 364-8487,,,110,0,0,0,0,0,110,DADS,STATE,PO BOX 12668,AUSTIN,TX,78711,(512) 454-3761,,,
licenses@brightspringhealth.com,EDUCARE COMMUNITY LIVING LIMITED PARTNERSHIP,3979,ICF/IID,11,CORPUS CHRISTI 61,CAMERON,PRIVATELY OWNED,YES,YES,146459,1/1/2024,1/1/2027,580 N SAM HOUSTON BLVD,SAN BENITO,TX,78586-4669,"26.135284,-97.628301",(956) 399-1020,(512) 328-8211,,,6,0,0,0,0,0,6,BRIGHTSPRING HEALTH HOLDINGS CORP,FOR-PROFIT CORPORATION,9901  LINN STATION RD,LOUISVILLE,KY,40223,,,ERICA DAGGETT,
lbailey@evergreenls.org,EVERGREEN CHOCTAW COMMUNITY HOME,3699,ICF/IID,4,ICF/IID TEAM,CASS,PRIVATELY OWNED,YES,YES,148079,9/18/2021,9/18/2024,1313 CHOCTAW,ATLANTA,TX,75551,"33.107608,-94.208048",(903) 796-9619,(903) 792-1861,,,6,0,0,0,0,0,6,EVERGREEN PRESBYTERIAN MINISTRIES OF TEXAS INC,Nonprofit Organization,10810,DALLAS,TX,75238,(972) 386-4834,,LINDA L BAILEY,
lbailey@evergreenls.org,EVERGREEN CLEARVIEW COMMUNITY HOME,7432,ICF/IID,4,ICF/IID TEAM,CASS,PRIVATELY OWNED,YES,YES,149918,7/9/2023,7/9/2026,101 CLEARVIEW,ATLANTA,TX,75551,"33.135312,-94.162512",(903) 796-5552,(903) 792-1861,,,6,0,0,0,0,0,6,EVERGREEN PRESBYTERIAN MINISTRIES OF TEXAS INC,Nonprofit Organization,10810,DALLAS,TX,75238,(972) 386-4834,,LINDA L BAILEY,
jslone9628@aol.com,ATCHISON GROUP HOME,10279,ICF/IID,4,ICF/IID TEAM,CHEROKEE,PRIVATELY OWNED,YES,YES,146291,1/29/2024,1/29/2027,RR 2 BOX 796514 CR 4204,JACKSONVILLE,TX,75766,"31.9751,-95.0853",(903) 586-3419,(903) 589-2638,,45H268,6,0,0,0,0,0,6,BLUEBONNET HOMES INC,FOR-PROFIT CORPORATION,128 S MAGDALEN,SAN ANGELO,TX,76903,(325) 658-6664,(325) 659-3769,JERI SLONE,
jslone9628@aol.com,DOGWOOD GROUP HOME,10278,ICF/IID,4,ICF/IID TEAM,CHEROKEE,PRIVATELY OWNED,YES,YES,146096,11/1/2023,11/1/2026,432 DOGWOOD ST,JACKSONVILLE,TX,75766,"31.963431,-95.222469",(903) 586-8556,(325) 659-2070,,,6,0,0,0,0,0,6,BLUEBONNET HOMES INC,FOR-PROFIT CORPORATION,128 S MAGDALEN,SAN ANGELO,TX,76903,(325) 658-6664,(325) 659-3769,JERI SLONE,
jslone9628@aol.com,SAN ANTONIO GROUP HOME,10355,ICF/IID,4,ICF/IID TEAM,CHEROKEE,PRIVATELY OWNED,YES,YES,145971,11/1/2023,11/1/2026,602 DALLAS STREET,JACKSONVILLE,TX,75766,"31.962359,-95.265839",(903) 541-4919,(903) 586-9120,,45H269,6,0,0,0,0,0,6,BLUEBONNET HOMES INC,FOR-PROFIT CORPORATION,128 S MAGDALEN,SAN ANGELO,TX,76903,(325) 658-6664,(325) 659-3769,JERI SLONE,
,FOREST HILLS GROUP HOME,7648,ICF/IID,4,ICF/IID TEAM,CHEROKEE,GOVERNMENT BASED,NO,YES,,,,803 SHARON ST,RUSK,TX,75785,"31.7963,-95.1647",(903) 683-6151,,,,6,0,0,0,0,0,6,ANDERSON CHEROKEE COMMUNITY ENRICHMENT SERVICES,OTHER (UNLICENSED),913 N JACKSON,JACKSONVILLE,TX,75766,(903) 586-5507,,,
,PECAN GROVE HOME,7649,ICF/IID,4,ICF/IID TEAM,CHEROKEE,GOVERNMENT BASED,NO,YES,,,,619 E FOURTH ST,RUSK,TX,75785,"31.793738,-95.141577",(903) 683-6547,,,,6,0,0,0,0,0,6,ANDERSON CHEROKEE COMMUNITY ENRICHMENT SERVICES,OTHER (UNLICENSED),913 N JACKSON,JACKSONVILLE,TX,75766,(903) 586-5507,,,
licenses@brightspringhealth.com,CHERRYWOOD COMMUNITY HOME,7421,ICF/IID,3,IID TEAM,COLLIN,PRIVATELY OWNED,YES,YES,148935,12/5/2021,12/5/2024,2900 PORT O CALL,PLANO,TX,75075,"33.037232,-96.727115",(972) 867-4159,,,,6,0,0,0,0,0,6,EDUCARE COMMUNITY LIVING LIMITED PARTNERSHIP,LIMITED PARTNERSHIP,"805 N WHITTINGTON PARKWAY, SUITE 400",LOUISVILLE,KY,40222,(409) 840-9111,(502) 394-2285,GREGORY BASHAM,
,COLLIN COUNTY MHMR AT MULLINS,7306,ICF/IID,3,IID TEAM,COLLIN,GOVERNMENT BASED,NO,YES,,,,1313 MULLINS,PLANO,TX,75025,"33.080565,-96.717741",(214) 424-4814,,,,6,0,0,0,0,0,6,LIFEPATH SYSTEMS,,1111,,TX,,,,,
,CROSS BEND HOUSE,7269,ICF/IID,3,IID TEAM,COLLIN,GOVERNMENT BASED,NO,YES,,,,3019 CROSS BEND,PLANO,TX,75023,"33.049334,-96.751032",(214) 596-8916,,,,6,0,0,0,0,0,6,LIFEPATH SYSTEMS,,1111,,TX,,,,JOSEPH E JOHNSON,
licenses@brightspringhealth.com,EDUCARE COMMUNITY LIVING LIMITED PARTNERSHIP,7402,ICF/IID,3,IID TEAM,COLLIN,PRIVATELY OWNED,YES,YES,146082,1/1/2024,1/1/2027,3700 GRIFBRICK,PLANO,TX,75075-1514,"33.037797,-96.765022",(972) 612-0394,,,,6,0,0,0,0,0,6,EDUCARE COMMUNITY LIVING LIMITED PARTNERSHIP,LIMITED PARTNERSHIP,"805 N WHITTINGTON PARKWAY, SUITE 400",LOUISVILLE,KY,40222,(409) 840-9111,(502) 394-2285,CONNIE CAMPBELL,
licenses@brightspringhealth.com,EDUCARE COMMUNITY LIVING LIMITED PARTNERSHIP,7493,ICF/IID,3,IID TEAM,COLLIN,PRIVATELY OWNED,YES,YES,146847,1/1/2024,1/1/2027,957 LONGHORN DR,PLANO,TX,75023,"33.058543,-96.713547",(972) 517-3762,,,,6,0,0,0,0,0,6,PHOENIX PARENT HOLDINGS INC,FOR-PROFIT CORPORATION,1901 CAMPUS PL,LOUISVILLE,KY,40222,,,CONNIE CAMPBELL,
adgray@kenmartx.com,WEIMAR COMMUNITY RESIDENCE,3993,ICF/IID,6,UNIT 21 (ICF-IID),COLORADO,PRIVATELY OWNED,YES,YES,149361,3/15/2023,3/15/2026,104 W. ST. CHARLES,WEIMAR,TX,78962,"29.699268,-96.782001",(979) 725-8826,,,,6,0,0,0,0,0,6,"KENMAR RESIDENTIAL SERVICES, INC",FOR-PROFIT CORPORATION,"33 CYPRESS BLVD., STE. 100",ROUND ROCK,TEXAS,78665,(512) 336-0800,(512) 336-0812,"WILLIAM K GRAY, II",
web@cg-idd.com,EARL HOUSE,3997,ICF/IID,8,TEAM ICF-IID,COMAL,PRIVATELY OWNED,YES,YES,149680,9/1/2021,9/1/2024,926 EARL DR,NEW BRAUNFELS,TX,78130,"29.676205,-98.117157",(800) 299-5161,(817) 447-3033,,,6,0,0,0,0,0,6,"ANIOL III, LLC",Limited Liability Company (LLC),PO BOX 310695,NEW BRAUNFELS,TX,78131,(713) 271-7777,,ASHLEY PETREK,
web@cg-idd.com,GRANADA HOUSE,7260,ICF/IID,8,TEAM ICF-IID,COMAL,PRIVATELY OWNED,YES,YES,148158,9/1/2022,9/1/2025,457 GRANADA,NEW BRAUNFELS,TX,78130,"29.692924,-98.102296",(800) 299-5161,(817) 447-3033,,,6,0,0,0,0,0,6,"ANIOL III, LLC",Limited Liability Company (LLC),,,,,,,ASHLEY PETREK,
web@cg-idd.com,MARIGOLD HOUSE,7233,ICF/IID,8,TEAM ICF-IID,COMAL,PRIVATELY OWNED,YES,YES,148113,9/1/2022,9/1/2025,1639 MARIGOLD,NEW BRAUNFELS,TX,78130,"29.678167,-98.130305",(800) 299-5161,(817) 447-3033,,,6,0,0,0,0,0,6,"ANIOL III, LLC",Limited Liability Company (LLC),PO BOX 310695,NEW BRAUNFELS,TX,78131,(713) 271-7777,,ASHLEY PETREK,
web@cg-idd.com,RAPIDS HOUSE,7232,ICF/IID,8,TEAM ICF-IID,COMAL,PRIVATELY OWNED,YES,YES,148544,9/1/2022,9/1/2025,1220 RAPIDS RD,NEW BRAUNFELS,TX,78130,"29.73967,-98.099974",(800) 299-5161,(817) 447-3033,,,6,0,0,0,0,0,6,"ANIOL III, LLC",Limited Liability Company (LLC),PO BOX 310695,NEW BRAUNFELS,TX,78131,(713) 271-7777,,JOHN WOOTEN,
web@cg-idd.com,TIMBERHILL HOUSE,3617,ICF/IID,8,TEAM ICF-IID,COMAL,PRIVATELY OWNED,YES,YES,148006,9/1/2021,9/1/2024,1374 TIMBERHILL DRIVE,NEW BRAUNFELS,TX,78130,"29.774441,-98.075539",(800) 299-5161,(817) 447-3033,,,6,0,0,0,0,0,6,"ANIOL III, LLC",Limited Liability Company (LLC),PO BOX 310695,NEW BRAUNFELS,TX,78131,(713) 271-7777,,ASHLEY PETREK,
licensing@cg-idd.com,1515 NORTHLAND,3950,ICF/IID,3,IID TEAM,DALLAS,PRIVATELY OWNED,YES,YES,307736,2/10/2023,2/10/2026,1515 NORTHLAND ST.,CARROLLTON,TX,75006,"32.980578,-96.899119",(972) 224-3554,(972) 224-0904,,,6,0,0,0,0,0,6,"DAYBREAK, INC",FOR-PROFIT CORPORATION,4800 OVERTON PLAZA STE 440,FORT WORTH,TX,76109,(972) 223-6259,(972) 224-0904,LATARSHER ALLEN-SMITH,
licensing@cg-idd.com,2100 CEDAR,3968,ICF/IID,3,IID TEAM,DALLAS,PRIVATELY OWNED,YES,YES,307743,2/10/2023,2/10/2026,2100 CEDAR CIR,CARROLLTON,TX,75006,"32.977714,-96.877916",(972) 224-3554,(972) 224-0904,,,6,0,0,0,0,0,6,"DAYBREAK, INC",FOR-PROFIT CORPORATION,4800 OVERTON PLAZA STE 440,FORT WORTH,TX,76109,(972) 223-6259,(972) 224-0904,LATARSHER ALLEN-SMITH,
cgarver@atcoftexas.org,14 FERRIS CREEK,100368,ICF/IID,3,IID TEAM,DALLAS,PRIVATELY OWNED,YES,YES,147114,5/7/2021,5/7/2024,9814 FERRIS CREEK,DALLAS,TX,75243,"32.915045,-96.730703",(972) 644-7521,(972) 644-5650,,45H277,6,0,0,0,0,0,6,AUTISTIC TREATMENT CENTER INC,Nonprofit Organization,10503 METRIC DR,DALLAS,TX,75243,(972) 644-2076,(972) 644-5650,ANNA P HUNDLEY,
ksmith@atcoftexas.org,23 FERRIS CREEK,100939,ICF/IID,3,IID TEAM,DALLAS,PRIVATELY OWNED,YES,YES,149524,7/1/2023,7/1/2026,12323 FERRIS CREEK LN,DALLAS,TX,75243,"32.914921,-96.731503",(972) 644-2079,(214) 221-0069,,45H278,6,0,0,0,0,0,6,AUTISTIC TREATMENT CENTER INC,Nonprofit Organization,10503 METRIC DR,DALLAS,TX,75243,(972) 644-2076,(972) 644-5650,ANNA P HUNDLEY,
cgarver@atcoftexas.org,27 FERRIS CREEK,10175,ICF/IID,3,IID TEAM,DALLAS,PRIVATELY OWNED,YES,YES,148173,7/23/2022,7/23/2025,12327 FERRIS CREEK,DALLAS,TX,75243,"32.915183,-96.731552",(972) 644-1064,(972) 644-5650,,,6,0,0,0,0,0,6,AUTISTIC TREATMENT CENTER INC,Nonprofit Organization,10503 METRIC DR,DALLAS,TX,75243,(972) 644-2076,(972) 644-5650,ANNA P HUNDLEY,
anna.todd@cg-idd.com,?6520 BRADDOCK PLACE?,7321,ICF/IID,3,IID TEAM,DALLAS,PRIVATELY OWNED,YES,YES,308066,1/7/2021,1/7/2024,6520 BRADDOCK PLACE,DALLAS,TX,75232,"32.668495,-96.856091",?2143391914?,?8174473033?,,,6,0,0,0,0,0,6,"DAYBREAK, INC",FOR-PROFIT CORPORATION,4800 OVERTON PLAZA STE 440,FORT WORTH,TX,76109,(972) 223-6259,(972) 224-0904,LATARSHER ALLEN-SMITH,
jhanophy@abilityconnection.org,ABILITY CONNECTION TEXAS JUBILEE HOUSE,100362,ICF/IID,3,IID TEAM,DALLAS,PRIVATELY OWNED,YES,YES,146409,12/1/2020,3/24/2024,3108 JUBILEE TR,DALLAS,TX,75229,"32.899467,-96.871815",(214) 351-2500,(972) 476-1256,,45H276,6,0,0,0,0,0,6,ABILITY CONNECTION TEXAS,Nonprofit Organization,8802 HARRY HINES BLVD,DALLAS,TX,75235,(214) 351-2500,(972) 476-1256,JIM HANOPHY,
licenses@brightspringhealth.com,EDUCARE COMMUNITY LIVING CORPORATION  TEXAS,3756,ICF/IID,3,IID TEAM,DALLAS,PRIVATELY OWNED,YES,YES,149371,4/1/2022,4/1/2025,5922 LEWISBURG LANE,DALLAS,TX,75237,"32.674909,-96.888699",(972) 780-7335,(972) 929-1145,,,6,0,0,0,0,0,6,EDUCARE COMMUNITY LIVING CORPORATION  TEXAS,FOR-PROFIT CORPORATION,"805 N WHITTINGTON PARKWAY, SUITE 400",LOUISVILLE,KY,40222,(502) 394-2100,(502) 394-2369,DEBORAH HINTON,
