FacID,PharmID,FacName,FacStreet1,FacStreet2,FacCity,FacState,FacZip,FacAdminPhone
182203,ONEPAC,NEWFAC-KOINONIA BROOKPARK (OH),6320 SMITH ROAD,,BROOKPARK,OH,44142,(216)267-9777
185102,ONEPAC,CAREGIVER - COLUMBUS (OH),150 EAST CAMPUS VIEW BLVD,SUITE 250,COLUMBUS,OH,43235,(380)390-6120
185105,ONEPAC,CAREGIVER-MANSFIELD (OH),1075 NATIONAL PARKWAY,,MANSFIELD,OH,44906,(419)522-3634
185108,ONEPAC,T/R RESIDENTIAL (OH),215 GILEAD STREET,,CARDINGTON,OH,43315,(330)209-7458
2318,ONEPAC,VILLAGE AT MARBRIDGE,2310 BLISS SPILLAR RD,,MANCHACA,TX,78652,(512)282-3163
2321,ONEPAC,RANCH AT MARBRIDGE,2310 BLISS SPILLAR RD,,MANCHACA,TX,78652,(512)282-1144
2335,ONEPAC,NEWFAC - REGENCY CARE HOME,555 ROUND ROCK WEST,SUITE E 203,ROUND ROCK,TX,78681,(512)239-8501
2346,ONEPAC,A CHAMPION HCS - HOLD WED,119 EXECUTIVE WAY,SUITE 303,DESOTO,TX,75115,(972)373-4393
2378,ONEPAC,AVID QUALITY CARE - LITTLE ELM,4800 US 377,Building 800,Aubrey,TX,76227,(940)365-9600
2402,ONEPAC,CARING MATTERS,935 PENDALE RD,,EL PASO,TX,79907,(915)592-8000
2406,ONEPAC,RUSSO & ASSOCIATES - CYPRESS,16215 JAST DR,,CYPRESS,TX,77429,(281)607-1370
2408,ONEPAC,RUSSO & ASSOCIATES - HOUSTON,7215 JUNCO DR,,HOUSTON,TX,77040,(281)607-1370
2415,ONEPAC,THE CENTER,4420 HARRISBURG BLVD,,HOUSTON,TX,77011,(713)525-8400
2421,ONEPAC,TRI-COUNTY BEHAVIORAL,7045 STATE HWY 75 S,ATTN: KELLY ROOKER,HUNTSVILLE,TX,77340,(936)291-5826
2423,ONEPAC,CHAMPION SERVICES,2050 GREENWOOD DR,SUITE 100,SOUTHLAKE,TX,76092,(817)310-6630
2427,ONEPAC,BELL TECH - VICTORIA,2202 TERRACE AVE,,VICTORIA,TX,77901,(361)894-7048
2430,ONEPAC,DRACO EL PASO,1055 HUMBLE PLACE,,EL PASO,TX,79915,(915)772-0904
2438,ONEPAC,CSP HEALTH SERVICES,606 ORIOLE BLVD,#313,DUNCANVILLE,TX,75116,(972)283-8035
2442,ONEPAC,QUEST HOMES - LUFKIN,609 ELLIS AVE,,LUFKIN,TX,75904,(936)632-0133
2446,ONEPAC,DALLAS METROCARE SERVICES,1881 SYLVAN AVE,# SUITE 200,DALLAS,TX,75208,(817)412-3946
2451,ONEPAC,SPINDLETOP CENTER,655 S 8TH ST,,BEAUMONT,TX,77701,(409)937-5986
2453,ONEPAC,HIGH PLAINS HEALTH PROV,1505 PB LANE,SUITE A,WICHITA FALLS,TX,76302,(940)766-6751
2456,ONEPAC,HARMONY LIVING CENTERS,112 SOUTH WARD DR,,LONGVIEW,TX,75604,(903)557-0283
2459,ONEPAC,PRIDE HCS,4002 LOUETTA RD,,SPRING,TX,77388,(832)717-4083
2462,ONEPAC,INNOVATIVE OUTCOMES  (NO DH),1475 S TRINITY RD,,DENTON,TX,76208,(940)387-1508
2465,ONEPAC,QUEST HOMES - HOUSTON AREA,8 DEWTHREAD CT,,SPRING,TX,77380,(936)632-0133
2471,ONEPAC,ADELA'S ANGELS LLC,1613 FREDERICKSBURG RD,,SAN ANTONIO,TX,78201,(830)714-7233
2475,ONEPAC,"MEMEEHA,LLC - NO DAYHAB SPLITS",1909 WEST LOOP,,EL CAMPO,TX,77437,(979)543-4186
2478,ONEPAC,MHMR CONCHO VALLEY,1501 W BEAUREGARD,,SAN ANGELO,TX,76901,(325)658-7750
2483,ONEPAC,MILLS COMMUNITY SERVICES,2312 MICHIGAN COURT,,DALWORTHINGTON GARDE,TX,76016,(817)226-1022
2486,ONEPAC,ADVANTAGE CARE SAN ANTONIO,5039 BECKWITH BLVD,STE 105,SAN ANTONIO,TX,78249,(210)641-9883
2492,ONEPAC,ADVANTAGE CARE FREDRICKSBURG,603 FM 2093,STE 1301,FREDERICKSBURG,TX,78624,(830)307-3199
2495,ONEPAC,ALL LIL THINGS COUNT-EL CAMPO,511 W JACKSON ST,,EL CAMPO,TX,77437,(281)581-2060
2497,ONEPAC,PEOPLE CARE FOSTER- CF ON  5TH,20 FOUNDERS BLVD,,EL PASO,TX,79906,(915)843-7773
2499,ONEPAC,ALL LITTLE THINGS COUNT -ALVIN,201 FM 2917,,ALVIN,TX,77511,(281)581-2060
2501,ONEPAC,PEOPLE CARE HCS/ICF,20 FOUNDERS BLVD,,EL PASO,TX,79906,(915)843-7773
2503,ONEPAC,A PLACE LIKE HOME,1308 TURNBRIDGE DR,,GLENN HEIGHTS,TX,75154,(214)467-5288
2505,ONEPAC,ICD STONEBRIDGE,20 S. KOENIGHEIM,,SAN ANGELO,TX,76903,(325)655-3884
2507,ONEPAC,ALL LIL THINGS COUNT-ROSENBERG,1117 LAWRENCE ST,,ROSENBERG,TX,77471,(281)581-2060
2509,ONEPAC,ABOVE AND BEYOND,744 EAST HENDERSON RD,,ANGLETON,TX,77515,(979)248-5101
2511,ONEPAC,A TREASURE OF DREAMS,115 E. EDGEWOOD DRIVE,,FRIENDSWOOD,TX,77511,(281)482-3163
2513,ONEPAC,A&A ADVANTAGE (HOH),3808 SHERWOOD WAY,,SAN ANGELO,TX,76901,(325)617-4546
2517,ONEPAC,MARK 1 RESIDENTIAL SERVICES,2807 DILLION HILL DRIVE,,AUSTIN,TX,78745,(512)448-0965
252000,GATTE,ANGEL'S PCH (GA) (NO DH),2620 RICHMOND HILL RD,,AUGUSTA,GA,30906,(706)755-2200
252003,GATTE,ANN TAPLEY'S (GA) (NO DH),339 MARSHALL ST,,AUGUSTA,GA,30907,(706)305-9031
252005,GATTE,VOA (GA) (NO DH),345 CARVER RD,,GRIFFIN,GA,30233,(470)204-7026
252009,GATTE,FAITH LANDING (GA) (NO DH),1215 HALE ST,,WAYNESBORO,GA,30830,(706)437-4248
252015,GATTE,HIGHER LIVING (GA) (NO DH),650 MAIN ST,,WARRENTON,GA,30828,(706)465-1188
252019,GATTE,LONGEVITY (GA) (NO DH),2884 LUMPKIN RD,,AUGUSTA,GA,30906,(706)831-0916
252025,GATTE,MORE CARE (GA) (NO DH),5038 STORY MILL RD,,HEPHZIBAH,GA,30815,(706)592-5992
252027,GATTE,MT PLEASANT (GA) (NO DH),311 JOHNSON AVE,,THOMSON,GA,30824,(706)595-8537
252029,GATTE,SOUTHERN BREEZE (GA) (NO DH),127 SO. BELAIR RD,,MARTINEZ,GA,30907,(706)504-4162
252033,GATTE,TAPLEY'S (GA) (NO DH),1372 INTERSTATE PKWY,,AUGUSTA,GA,30909,(706)564-9247
252045,GATTE,COMPLETE CARE AT HOME,11 DUNWOODY PARK,SUITE 140,ATLANTA,GA,30338,(770)551-9533
252048,GATTE,DEVELOPMENTAL DISABIL MIN (GA),6320 AMHERST CT,SUITE 100,NORCROSS,GA,30092,(770)468-5527
252051,GATTE,THE ARC OF SW GA,2200 STUART AVE,,ALBANY,GA,31707,(229)888-6852
252053,GATTE,WESLEY GLEN,4580 N MUMFORD RD,,MACON,GA,31210,(478)471-3711
252054,GATTE,WESLEY GLEN ST. MARYS,884 MUSH BLUFF RD,,ST. MARY'S,GA,31558,(912)882-1320
252056,GATTE,SUNRISE ROME,325 W 9TH ST,,ROME,GA,30165,(706)232-8033
2522,ONEPAC,ODYSSEY HCS,2115 CYPRESS LANDING,,HOUSTON,TX,77090,(936)280-0030
2524,ONEPAC,DOVE'S HAVEN,6521 SAN PEDRO,,SAN ANTONIO,TX,78216,(210)824-1520
2525,ONEPAC,CHRISTIAN LIFE RESIDENTIAL,705 LIBERTY STREET,,MALAKOFF,TX,75148,(903)489-9977
2527,ONEPAC,BURKE CENTER - LUFKIN,2105 N. JOHN REDDITT,,LUFKIN,TX,75904,(936)639-5380
252701,GATTE,UCP GA AUGUSTA (GA),2052 GORDON HWY,STE 2-B,AUGUSTA,GA,30909,(555)555-5555
252703,GATTE,UCP GA SAVANNAH (GA),120 OGLETHORPE PROFESSIONAL CT,,SAVANNAH,GA,31406,(912)303-9995
252705,GATTE,UCP GA CHAMBLEE (GA),3300 NE EXPRESSWAY,BLDG 9,ATLANTA,GA,30341,(770)676-2000
252707,GATTE,UCP GA CONYER (GA),829 COMMERCE DR SW,STE 1-B,CONYERS,GA,30094,(770)922-7337
252709,GATTE,UCP GA MACON (GA),2992 CRESTLINE DR,,MACON,GA,31204,(478)477-4673
252711,GATTE,UCP GA FEDEX (NO DH)(GA),,,,GA,,(___)___-____
2528,ONEPAC,BURKE CENTER - JASPER,46 WEST BAY,,JASPER,TX,75951,(936)639-5380
2529,ONEPAC,"MIOWN HOME, LLC",8802 VISTA OAKS CIRCLE,,DALLAS,TX,75243,(972)217-9110
2533,ONEPAC,ANCHOR HABILITATION,9708 SPID,STE A101,CORPUS CHRISTI,TX,78418,(361)657-0247
2534,ONEPAC,HILL COUNTRY SIGNS OF HOPE,1322 HARPER RD,,KERRVILLE,TX,78028,(830)895-0747
2536,ONEPAC,BELL TECH HOUSTON,12000 RICHMOND AVE,SUITE 135,HOUSTON,TX,77082,(281)679-0541
2539,ONEPAC,ANDREWS CENTER,2323 W FRONT ST,,TYLER,TX,75702,(903)597-1351
2541,ONEPAC,AKA HEART TO HOME,3355 CHERRY RIDGE,SUITE 203,SAN ANTONIO,TX,78230,(210)499-5451
2542,ONEPAC,ABILITY PLUS,23 HOLLINFARE CT,,SUGARLAND,TX,77479,(832)656-9645
2544,ONEPAC,"ADAPTIVE AIDS, LLC",3648 CYPRESS CREEK PARKWAY,SUITE 140,HOUSTON,TX,77068,(832)717-2262
2546,ONEPAC,TRANSAFRICAN DEVELOPMENT,7943 FOREST FLAME,,SAN ANTONIO,TX,78239,(210)985-6886
2549,ONEPAC,"SPECIAL GRACES, LLC",4650 DIXIE FARM RD,#110,PEARLAND,TX,77581,(409)658-3411
2551,ONEPAC,"A BETTER HCS HOME,INC",517 RICHLAND DR,,WACO,TX,76710,(254)701-8817
255201,GATTE,SOTO (GA),3729 Executive Center Dr.,,AUGUSTA,GA,30907,(706)426-4200
255205,GATTE,SOTO SAVANNAH (GA),350 HODGSON PORT,,SAVANNAH,GA,31406,(706)678-6169
256501,GATTE,RHA AUGUSTA,208 C PITCARIN WAY,,AUGUSTA,GA,30909,(706)228-4911
256503,GATTE,RHA ROME (NO DH),2016 REDMOND CIRCLE NW,,ROME,GA,30165,(678)218-5896
256505,GATTE,RHA MILLEDGEVILLE,105 FIELDSTONE DRIVE,SUITE 104,MILLEDGEVILLE,GA,31061,(478)452-1100
256507,GATTE,RHA WOODSTOCK,220 HERITAGE WALK,STE 205,WOODSTOCK,GA,30188,(770)529-3754
256509,GATTE,RHA ROME HOST HOMES,2016 REDMUND CIRCLE NW,,ROME,GA,30165,(678)218-5896
256511,GATTE,RHA MILLEDGEVILL HM DEL,105 FIELDSTONE DRIVE,SUITE 104,MILLEDGEVILLE,GA,31061,(478)452-1100
259999,GATTE,GEORGIA FOSTER/HH (GA) (NO DH),,,,GA,,(___)___-____
2619,ONEPAC,DOWN HOME RANCH,20250 FM 619,,ELGIN,TX,78621,(512)856-0128
2622,ONEPAC,MISSION ROAD DEVELOPMENTAL CTR,8706 MISSION ROAD,BLDG 13-DISREGARD SIGN @ GATE,SAN ANTONIO,TX,78214,(210)924-9265
2627,ONEPAC,HANDS ON (NO DH),4630 HAMILTON WOLFE,,SAN ANTONIO,TX,78229,(210)639-3150
2644,ONEPAC,LAUREN MCKENNA HCS,17410 E. STRACK DR,,SPRING,TX,77379,(785)313-2426
2651,ONEPAC,GOLDEN RULE SERVICES,3801 LIBERTY DRIVE,,PEARLAND,TX,77581,(281)997-2295
2655,ONEPAC,CENTER FOR LIFE,408 MULBERRY ST,,BROWNWOOD,TX,76801,(325)643-1873
2657,ONEPAC,MERIDIAN LIVING CENTER,8130 Westglen Dr,,Houston,TX,77063,(713)778-9300
2660,ONEPAC,CHI CHI LIVING CENTER,9119 S GESSNER RD,STE 201,HOUSTON,TX,77074,(713)771-1550
2663,ONEPAC,CHAI DALLAS (TX),11615 FOREST CENTRAL DRIVE,SUITE 100,DALLAS,TX,75243,(214)373-8600
2665,ONEPAC,DOUBLETREE RES SERV (TX),3225 W SLAUGHTER LANE,,AUSTIN,TX,78748,(512)291-8450
2668,ONEPAC,HILL RESOURCES,1850 E LOWDEN ST,,ABILENE,TX,79601,(325)673-3346
2670,ONEPAC,COMMUNITY CHOICE/AUSTIN,704 WONSLEY DR,#202,AUSTIN,TX,78753,(512)835-8955
2673,ONEPAC,BORDER REGION (NO DH) (TX),1500 PAPPAS ST,IDD NURSING,LAREDO,TX,78041,(956)794-3307
2677,ONEPAC,HOPE HORIZON LLC,2045 FOREST LANE,STE 130,GARLAND,TX,75042,(972)234-9001
3104,ONEPAC,D&S - SOUTH,6800 WESTGATE BLVD,STE 102,AUSTIN,TX,78745,(512)504-9590
3108,ONEPAC,D&S - NORTH,2102 BLALOCK DRIVE,,AUSTIN,TX,78758,(512)419-1661
3203,ONEPAC,SEVITA BROWNSVILLE,3722 CALLE BUENOS AIRES,,BROWNSVILLE,TX,78526,(956)350-3428
3224,ONEPAC,D&S - ARLINGTON,1126 WEST PIONEER PKWY,,ARLINGTON,TX,76013,(682)323-4127
3227,ONEPAC,D&S - LUBBOCK,5224 75TH,SUITE B,LUBBOCK,TX,79424,(806)799-1721
3228,ONEPAC,D&S - DENTON,3401 E. UNIVERSITY DR,SUITE 104,DENTON,TX,76208,(940)484-0900
3232,ONEPAC,D&S - MCKINNEY,194 INDUSTRIAL BLVD,SUITE 105,MCKINNEY,TX,75069,(972)548-7562
3236,ONEPAC,D&S - ODESSA - NO DAYHAB,10036 W. WESTLAND DR.,,ODESSA,TX,79764,(432)381-0741
3240,ONEPAC,D&S - BIG SPRING - NO DAYHAB,1315 BAYLOR BLVD.,,BIG SPRING,TX,79720,(432)816-8263
3244,ONEPAC,D&S - SAN ANTONIO,3300 NACOGDOCHES,STE 205,SAN ANTONIO,TX,78217,(210)545-1493
3252,ONEPAC,D&S - SAN ANGELO,3280 SHERWOOD WAY,,SAN ANGELO,TX,76901,(325)944-1809
3256,ONEPAC,D&S - LONGVIEW,440 NORTH EASTMAN ROAD,SUITE D,LONGVIEW,TX,75601,(903)983-1821
3260,ONEPAC,D&S - ABILENE,309 HICKORY ST,,ABILENE,TX,79601,(325)676-8992
3264,ONEPAC,D&S - COLLEGE STATION,1700 BARAK LANE,,BRYAN,TX,77802,(979)775-1590
3268,ONEPAC,D&S - BERTRAM  (NO DAYHAB),246 HWY 29 EAST,,BERTRAM,TX,78605,(512)355-3184
3270,ONEPAC,D&S - CONROE,17207 KUYKENDAHL RD,SUITE 271,SPRING,TX,77379,(281)713-4071
3274,ONEPAC,D&S - HOUSTON,17207 KUYKENDAHL RD,SUITE 271,SPRING,TX,77379,(713)863-7000
3276,ONEPAC,D&S - WICHITA FALLS,3010 Buchanan Street,,WICHITA FALLS,TX,76308,(940)696-6464
3284,ONEPAC,D&S - PARIS,35 12th SE,,PARIS,TX,75460,(903)409-4200
3290,ONEPAC,D&S - CORPUS,4110 KOSTORYZ RD,,CORPUS CHRISTI,TX,78415,(361)402-6850
3292,ONEPAC,D&S/TMN AMARILLO,2400 LAKEVIEW DR,SUITE 109,AMARILLO,TX,79109,(806)486-7148
3295,ONEPAC,SEVITA RGV,3124 CENTER POINTE DR,,EDINBURG,TX,78539,(956)513-1313
362002,NJEXPO,NIPD  (NJ-N),345 NORTH MAIN STREET,2ND FLOOR,NEW CITY,NY,10956,(845)358-5700
362105,NJEXPO,PATHFINDER VILLAGE (NY-X)(FDX),3 CHENANGO RD,,EDMESTON,NY,13335,(607)965-8377
372102,NJEXPO,RHD LIFE SHARING (PA-X) (FEDX),630 MUNICIPAL DR,#500,NAZARETH,PA,18064,(484)298-1333
372103,NJEXPO,RHD MAINSTAY (PA-S),4700 WISSAHICKON AVE,SUITE 126,PHILADELPHIA,PA,19144-4248,(215)951-0300
372104,NJEXPO,RHD BEYOND BOUND (PA-S),4700 WISSAHICKON AVE,SUITE 126,PHILADELPHIA,PA,19144-4248,(215)951-0030
372105,NJEXPO,RHD GENESIS (PA-X) (FEDX),4700 WISSAHICKON AVE,SUITE 126,PHILADELPHIA,PA,19144,(215)951-0300
372106,NJEXPO,RHD SHINING THROUGH(PA-X)(FDX),4700 WISSAHICKON AVE,SUITE 126,PHILADELPHIA,PA,19144-4248,(215)951-0300
372107,NJEXPO,RHD HARMONY (PA-X) (FEDX),4700 WISSAHICKON AVE,"SUITE 126, C/O DOROTHY WEBB",PHILADELPHIA,PA,19144-4248,(215)951-0300
372108,NJEXPO,SPECIAL FRIENDS  (PA-S),928 LINDALE AVE,,DREXIL HILL,PA,19026,(___)___-____
372109,NJEXPO,HOLY REDEEMER (PA-X),521 MOREDON RD,,HUNTINGDON VALLEY,PA,19006,(215)344-9455
372110,NJEXPO,LEHIGH VAL ADLT SV (FDX)(PA-X),41 COMMUNITY DR,,EASTON,PA,18045,(610)438-5827
372111,NJEXPO,BEACON KEYSTONE PA FEDX (PA-X),100 ABINGTON EXECUTIVE PARK,SUITE B,CLARKS SUMMIT,PA,18411,(570)558-8900
372112,NJEXPO,MARY JO HEALTHCARE (PA-X),10501 ACADEMY RD,UNIT L,PHILADELPHIA,PA,19114,(215)941-7787
372113,NJEXPO,AEGIS (PA-S),659 CHURCH LANE,,YEADON,PA,19050,(610)259-2947
372114,NJEXPO,NEWFAC -SUNRISE COMM PA (PA-X),2 EDGEMOOR RD,,CHELTENHAM,PA,19012,(856)723-5895
376002,NJEXPO,LIFEPATH (PA-N),3500 HIGH POINT BLVD,,BETHLEHEM,PA,18017,(610)264-5724
376007,NJEXPO,VOA (PA-S),2001 WELSH RD,,PHILADELPHIA,PA,19115,(215)633-1569
376008,NJEXPO,A&K COMP CARE (PA-S),39 S 50TH ST,,PHILADELPHIA,PA,19139,(215)820-1741
376009,NJEXPO,EIHAB (PA-X) (FEDX) NO DH,35 EAST TIOGA,,TUNKHANNOCK,PA,18657,(929)766-8077
376501,NJEXPO,RHA GROWTH HORIZN BUCKS (PA-S),1981 HARTEL ST,,LEVITTOWN,PA,19057,(215)945-9005
376503,NJEXPO,RHA PAHRTNERS E (PA-X) (FEDX),614 N EASTON RD,,GLENSIDE,PA,19038,(215)884-9770
376504,NJEXPO,RHA PAHRTNERS W(PA-X)(FDX)NODH,415 MOON CLINTON RD,,CORAOPOLIS,PA,15108,(215)884-9770
376505,NJEXPO,RHA SALISBURY (PA-X)(FDX) NODH,236 BRODHEAD RD,SUITE 110,BETHLEHEM,PA,18017,(610)973-0970
376506,NJEXPO,RHA SALISBURY N (PA-N),236 BRODHEAD RD,SUITE 110,BETHLEHEM,PA,18017,(610)973-0970
376507,NJEXPO,RHA SALIS LTSR (PA-X)(FDX)NODH,236 BRODHEAD RD,SUITE 110,BETHLEHEM,PA,18017,(610)973-0970
376508,NJEXPO,RHA SALISBURY S (PA-S),236 BROADHEAD RD,SUITE 110,BETHLEHEM,PA,18017,(610)973-0970
376509,NJEXPO,RHA GRWTH HRZN MNTGY GH (PA-X),120 GILBRALTAR RD,,HORSHAM,PA,19044,(215)706-2068
377001,NJEXPO,COMM OPT SCHUYLKILL(PA-X)(FDX),340 S LIBERTY ST,SUITE 2,ORWIGSBURG,PA,17961,(484)220-7423
377003,NJEXPO,COMM OPT LEHIGH (NODH)(PA-N),3710 BROADWAY,,ALLENTOWN,PA,18104,(484)221-8806
377005,NJEXPO,COMM OPT DRUMS (PA-X) (FEDX),3 EAST BUTLER DRIVE,SUITE 201,DRUMS,PA,18222,(570)497-8389
379999,NJEXPO,PENN FOSTER/HH (PA-X) (FEDX),,,,PA,,(___)___-____
386002,NJEXPO,VILLAGE OF HOPE (DE-X) (FEDEX),163 HAMPTON DR,,DOVER,DE,19904,(302)279-0406
386003,NJEXPO,ABOVE EXPECTATIONS (DE-X)(FDX),321 DELAWARE AVE,,HARRINGTON,DE,19952,(302)786-2912
392001,NJEXPO,ARC OF BERGEN/PASS (NJ-N),223 MOORE STREET,,HACKENSACK,NJ,7601,(201)343-1518
392002,NJEXPO,AVIDD (NJ-N),92 BROADWAY,,DENVILLE,NJ,7834,(973)664-1770
392003,NJEXPO,ABLELIGHT (BETHESDA) (NJ-N),220 HAMBURG TURNPIKE,,POMPTON LAKES,NJ,7442,(973)831-4088
392005,NJEXPO,CAFS (NJ-N),200 ROBIN RD,,PARAMUS,NJ,7652,(201)261-2800
392006,NJEXPO,CFS (NJ-N),71 ZABRISKIE ST,,HACKENSACK,NJ,7601,(201)678-0370
392007,NJEXPO,COMMUNITY HOPE -NO DH- (NJ-N),959 US-46,#402,PARSIPPANY,NJ,7054,(973)463-9600
392008,NJEXPO,PILLAR CARE CONTINUUM (NJ-N),220 S ORANGE AVE,#300,LIVINGSTON,NJ,7039,(973)763-9900
392009,NJEXPO,DPD/CATHOLIC CHARITIES (NJ-N),1 CATHOLIC CHARITIES WAY,,OAK RIDGE,NJ,7438,(973)935-0885
392012,NJEXPO,J-ADD (NJ-N),50 EISNEHOWER DR,SUITE 202,PARAMUS,NJ,7652,(201)457-0058
392013,NJEXPO,LIFE OPPORTUNITIES (NJ-N),75 NORTH MAPLE AVENUE,,RIDGEWOOD,NJ,7450,(201)689-1128
392016,NJEXPO,NEW CONCEPTS FOR LIVING (NJ-N),68A W PASSAIC ST,,ROCHELLE PARK,NJ,7662,(201)843-3427
392019,NJEXPO,PILOT (NJ-S),283 JACKSON ROAD,,BERLIN,NJ,8009,(856)809-0600
392021,NJEXPO,SERV (NJ-N),777 BLOOMFIELD AVENUE,,CLIFTON,NJ,7012,(646)458-2106
392022,NJEXPO,SPECTRUM (NJ-N),210 RIVERVALE ROAD,,RIVERVALE,NJ,7675,(201)358-8000
392026,NJEXPO,WEST BERGEN (NJ-N),120 CHESTNUT STREET,,RIDGEWOOD,NJ,7450,(201)444-3550
392027,NJEXPO,FORDHAM LEWIS (NJ-N),613 HOPE RD,STE 5,EATONTOWN,NJ,7724,(551)500-4921
392029,NJEXPO,SPECTRUM ICF (NJ-N) NO DH,50 BLANCH AVE,,CLOSTER,NJ,7624,(201)784-9400
392030,NJEXPO,AMIB (NJ-N),35 BEAVERSON BLVD,LIONS HEAD OFFICE PARK BLDG#13,BRICK,NJ,8723,(732)262-0082
392032,NJEXPO,ARC OF MONMOUTH (NJ-N),1158 WAYSIDE RD,,TINTON FALLS,NJ,7712,(732)493-1919
392053,NJEXPO,CROSSROADS TREATMT HOMES(NJ-N),42 DELAWARE AVE,,EWING,NJ,08628-2003,(609)225-4700
392061,NJEXPO,ARC OF OCEAN (NJ-N),815 CEDAR BRIDGE AVE,,LAKEWOOD,NJ,8701,(732)363-3335
392062,NJEXPO,CAPITOL CARE (NJ-N),185 STATE ROUTE 183,,STANHOPE,NJ,7874,(844)437-3482
392063,NJEXPO,EASTER SEALS (NJ-N),25 KENNEDY BLVD,STE 600,EAST BRUNSWICK,NJ,8816,(732)257-6662
392069,NJEXPO,TENDER CARE - NO DH (NJ-N),934 STUYVESANT AVE,,UNION,NJ,7083,(973)500-3947
392071,NJEXPO,21 PLUS INC (NJ-N),1900 RT 70,STE 12,MANCHESTER,NJ,8759,(732)240-3118
392072,NJEXPO,NEWFAC-BEACON KEYSTONE (NJ-X),13 ROSZEL ROAD,SUITE B 110,PRINCETON,NJ,8540,(570)301-6714
392073,NJEXPO,NEWFAC-MIDLAND ADULT SER(NJ-N),94 READINGTON RD,PO BOX 5026,NORTH BRANCH,NJ,8876,(908)704-2365
392089,NJEXPO,OAKS INTEGRATED CARE (NJ-N),770 WOODLANE RD,,MT HOLLY,NJ,8060,(609)267-5928
392090,NJEXPO,REED NEXT (NJ-N),25 POTASH RD,,OAKLAND,NJ,7436,(201)644-0760
392126,NJEXPO,YAI (NJ-N),1463 MACOPIN RD,,WEST MILFORD,NJ,7480,(973)223-8262
392127,NJEXPO,ATTAIN AND GAIN (NJ-N),15 RALPH ROAD,,WEST ORANGE,NJ,7052,(973)325-0341
392501,NJEXPO,RHA NJ NORTH (NJ-X),19 WILSON DRIVE,,SPARTA,NJ,7871,(862)254-3543
392502,NJEXPO,NEWFAC - RHA BROADWAY (NJ-N),1215 LIVINGSTON AVE,SUITE 200,NORTH BRUNSWICK,NJ,8902,(___)___-____
396007,NJEXPO,ARC OF BURLINGTON (NJ-S),115 E BROAD ST.,,BURLINGTON,NJ,8016,(609)531-0211
396009,NJEXPO,ARC OF CAMDEN COUNTY (NJ-S),215 W. WHITE HORSE PIKE,,BERLIN,NJ,8009,(856)767-3650
396013,NJEXPO,ARC GLOUCESTER (NJ-S),1555 GATEWAY BLVD,,WEST DEPTFORD,NJ,8096,(856)848-8648
396017,NJEXPO,ARC OF SALEM (NJ-S),150 SALEM-WOODSTOWN RD,P.O. BOX 5,SALEM,NJ,8079,(856)935-3600
396019,NJEXPO,AVE TO INDPNDT. LIVING (NJ-S),304 S. BROAD ST,,WOODBURY,NJ,8096,(___)___-____
396045,NJEXPO,CFG --NO DAYHAB-- (NJ-S),1000 ATLANTIC AVE,,CAMDEN,NJ,8104,(___)___-____
396047,NJEXPO,OAKS INTEG - COLES RUN (NJ-S),770 WOODLANE RD,,MT. HOLLY,NJ,8060,(609)267-5928
396049,NJEXPO,VICTORIA MANOR (NJ-S),16 ASBERRY PL,,SICKLERVILLE,NJ,08081-1720,(856)842-4438
396051,NJEXPO,HEMLOCK (NJ-S),124 HEMLOCK DR,,WILLIAMSTOWN,NJ,8081,(609)970-5060
396052,NJEXPO,CROSSROADS INFANTS (NJ-S),610 BEVERLY-RANCOCAS RD,,WILLINGBORO,NJ,8046,(609)880-0210
396053,NJEXPO,CROSSROADS (NJ-S),610 BEVERLY-RANCOCAS RD,,WILLINGBORO,NJ,8046,(609)880-0210
396056,NJEXPO,CROSSROADS TREATMT HOMES(NJ-S),610 BEVERLY RANCOCAS RD,,WILLINGBORO,NJ,8046,(609)880-0210
396061,NJEXPO,DURAND (NJ-S),230 N EVERGREEN AVE,,WOODBURY,NJ,8096,(856)845-066_
396067,NJEXPO,EQUAL PARTNERS (NJ-S),20 BROWN LN,,NEW EGYPT,NJ,8533,(609)758-0001
396079,NJEXPO,KELSCH (NJ-S),368 BROADWAY,,WESTVILLE,NJ,8093,(856)456-2022
396089,NJEXPO,OAKS INTEGRATED CARE (NJ-S),770 WOODLANE RD,,MT HOLLY,NJ,8060,(609)267-5928
396093,NJEXPO,OAKS INTEG - OASIS (NJ-S),770 WOODLANE RD,,MT HOLLY,NJ,8060,(609)267-5828
396095,NJEXPO,OTCBC (NJ-S),2 MANHATTAN DRIVE,,BURLINGTON TWP,NJ,8016,(609)267-6677
396099,NJEXPO,PENN REACH (NJ-S),43 PARK BLVD,,CLEMENTON,NJ,8021,(609)802-2802
396120,NJEXPO,21 PLUS INC (NJ-S),1900 RT 70,STE 12,MANCHESTER,NJ,8759,(732)240-3118
396501,NJEXPO,RHA NJ SOUTH (NJ-X),501 KING AVE,,CHERRY HILL,NJ,8002,(973)320-7882
397304,NJEXPO,COMM OPTIONS -DENVILLE (NJ-N),95 E MAIN ST,SUITE 201,DENVILLE,NJ,7834,(973)872-7111
397305,NJEXPO,COMM OPTION-OCEAN (NJ-N),510 SOUTH MAIN STREET,,FORKED RIVER,NJ,8731,(___)___-____
397601,NJEXPO,COMM OPTIONS - SOUTH (NJ-S),502 SALEM AVE,8563085776 ALT NUM,WOODBURY,NJ,8096,(856)285-7155
